3500.000	-0.054	0.034
3500.104	-0.054	0.034
3500.169	-0.054	0.034
3500.260	-0.054	0.034
3500.352	-0.054	0.034
3500.429	-0.053	0.034
3500.508	-0.053	0.034
3500.598	-0.054	0.034
3500.677	-0.053	0.034
3500.768	-0.054	0.034
3500.846	-0.053	0.034
3500.924	-0.053	0.034
3501.015	-0.053	0.034
3501.093	-0.054	0.034
3501.172	-0.054	0.034
3501.262	-0.053	0.034
3501.341	-0.054	0.033
3501.419	-0.053	0.031
3501.510	-0.054	0.034
3501.588	-0.054	0.034
3501.679	-0.053	0.031
3501.758	-0.053	0.034
3501.848	-0.053	0.032
3501.927	-0.053	0.034
3502.005	-0.054	0.034
3502.096	-0.054	0.034
3502.174	-0.053	0.034
3502.265	-0.053	0.034
3502.343	-0.054	0.034
3502.422	-0.053	0.034
3502.512	-0.053	0.034
3502.591	-0.054	0.033
3502.669	-0.054	0.034
3502.760	-0.054	0.031
3502.838	-0.054	0.034
3502.917	-0.053	0.032
3503.008	-0.053	0.028
3503.086	-0.053	0.029
3503.177	-0.053	0.029
3503.255	-0.053	0.029
3503.346	-0.054	0.030
3503.424	-0.053	0.029
3503.502	-0.053	0.030
3503.593	-0.053	0.031
3503.672	-0.053	0.034
3503.762	-0.054	0.034
3503.841	-0.053	0.034
3503.919	-0.053	0.034
3504.010	-0.053	0.034
3504.088	-0.053	0.034
3504.179	-0.053	0.034
3504.258	-0.054	0.034
3504.336	-0.054	0.034
3504.427	-0.053	0.034
3504.505	-0.053	0.034
3504.583	-0.053	0.034
3504.674	-0.054	0.032
3504.765	-0.053	0.031
3504.843	-0.053	0.032
3504.922	-0.053	0.031
3505.012	-0.053	0.028
3505.091	-0.053	0.028
3505.169	-0.053	0.028
3505.260	-0.053	0.028
3505.338	-0.054	0.028
3505.417	-0.053	0.023
3505.508	-0.053	0.023
3505.586	-0.053	0.023
3505.677	-0.054	0.023
3505.755	-0.054	0.023
3505.846	-0.053	0.023
3505.924	-0.053	0.023
3506.002	-0.053	0.022
3506.093	-0.053	0.022
3506.172	-0.053	0.023
3506.262	-0.053	0.022
3506.341	-0.053	0.022
3506.419	-0.053	0.022
3506.510	-0.053	0.021
3506.588	-0.053	0.023
3506.667	-0.053	0.022
3506.758	-0.054	0.021
3506.836	-0.053	0.022
3506.927	-0.053	0.023
3507.005	-0.053	0.023
3507.083	-0.053	0.023
3507.174	-0.053	0.023
3507.265	-0.053	0.023
3507.343	-0.053	0.023
3507.422	-0.053	0.023
3507.500	-0.053	0.023
3507.591	-0.054	0.023
3507.669	-0.053	0.023
3507.760	-0.053	0.024
3507.838	-0.053	0.023
3507.929	-0.053	0.024
3508.008	-0.053	0.023
3508.086	-0.053	0.023
3508.177	-0.053	0.023
3508.255	-0.053	0.023
3508.346	-0.053	0.023
3508.424	-0.053	0.024
3508.502	-0.053	0.023
3508.593	-0.054	0.025
3508.672	-0.053	0.025
3508.750	-0.054	0.026
3508.841	-0.053	0.028
3508.919	-0.053	0.027
3509.010	-0.054	0.028
3509.088	-0.054	0.028
3509.179	-0.053	0.028
3509.271	-0.053	0.028
3509.336	-0.053	0.026
3509.427	-0.053	0.024
3509.505	-0.053	0.026
3509.596	-0.053	0.026
3509.674	-0.053	0.026
3509.752	-0.053	0.028
3509.843	-0.053	0.028
3509.922	-0.054	0.028
3510.012	-0.053	0.028
3510.091	-0.053	0.028
3510.169	-0.053	0.028
3510.260	-0.053	0.030
3510.338	-0.053	0.029
3510.417	-0.053	0.030
3510.508	-0.053	0.032
3510.586	-0.053	0.033
3510.677	-0.053	0.034
3510.755	-0.053	0.034
3510.846	-0.053	0.034
3510.924	-0.053	0.034
3511.002	-0.053	0.035
3511.093	-0.053	0.037
3511.172	-0.053	0.039
3511.262	-0.053	0.038
3511.341	-0.054	0.039
3511.419	-0.054	0.039
3511.510	-0.053	0.039
3511.588	-0.053	0.039
3511.679	-0.053	0.038
3511.758	-0.053	0.036
3511.836	-0.053	0.034
3511.927	-0.053	0.034
3512.005	-0.053	0.034
3512.083	-0.053	0.034
3512.174	-0.053	0.034
3512.265	-0.053	0.034
3512.343	-0.053	0.033
3512.422	-0.053	0.034
3512.500	-0.053	0.033
3512.591	-0.053	0.034
3512.669	-0.053	0.033
3512.760	-0.053	0.034
3512.838	-0.053	0.034
3512.929	-0.053	0.034
3513.008	-0.053	0.034
3513.086	-0.054	0.034
3513.177	-0.053	0.034
3513.255	-0.053	0.034
3513.333	-0.053	0.039
3513.424	-0.053	0.038
3513.502	-0.053	0.038
3513.593	-0.053	0.039
3513.672	-0.053	0.039
3513.762	-0.053	0.039
3513.841	-0.053	0.042
3513.919	-0.053	0.040
3514.010	-0.053	0.044
3514.088	-0.052	0.043
3514.179	-0.054	0.040
3514.258	-0.053	0.039
3514.336	-0.053	0.039
3514.427	-0.053	0.039
