5440.000	-0.088
5440.208	-0.088
5440.338	-0.088
5440.495	-0.088
5440.677	-0.088
5440.833	-0.088
5440.990	-0.088
5441.172	-0.088
5441.328	-0.088
5441.510	-0.088
5441.667	-0.088
5441.850	-0.088
5442.005	-0.088
5442.162	-0.088
5442.343	-0.088
5442.500	-0.088
5442.683	-0.088
5442.838	-0.088
5442.995	-0.088
5443.177	-0.088
5443.333	-0.088
5443.490	-0.088
5443.672	-0.088
5443.828	-0.088
5444.010	-0.088
5444.167	-0.088
5444.350	-0.088
5444.505	-0.088
5444.662	-0.088
5444.843	-0.084
5445.000	-0.083
5445.183	-0.083
5445.338	-0.083
5445.495	-0.083
5445.677	-0.083
5445.833	-0.082
5445.990	-0.081
5446.172	-0.078
5446.328	-0.078
5446.510	-0.078
5446.667	-0.078
5446.850	-0.077
5447.005	-0.073
5447.162	-0.073
5447.343	-0.071
5447.500	-0.069
5447.683	-0.069
5447.838	-0.068
5447.995	-0.068
5448.177	-0.068
5448.333	-0.067
5448.517	-0.063
5448.672	-0.063
5448.828	-0.063
5449.010	-0.059
5449.167	-0.057
5449.350	-0.052
5449.505	-0.048
5449.662	-0.043
5449.843	-0.040
5450.000	-0.037
5450.183	-0.035
5450.338	-0.032
5450.495	-0.029
5450.677	-0.026
5450.833	-0.021
5451.017	-0.016
5451.172	-0.011
5451.355	-0.006
5451.510	-0.001
5451.667	0.003
5451.850	0.008
5452.005	0.014
5452.162	0.019
5452.343	0.023
5452.500	0.029
5452.683	0.034
5452.838	0.038
5452.995	0.041
5453.177	0.044
5453.333	0.046
5453.517	0.049
5453.672	0.054
5453.828	0.057
5454.010	0.063
5454.167	0.065
5454.350	0.069
5454.505	0.075
5454.662	0.078
5454.843	0.080
5455.000	0.084
5455.183	0.088
5455.338	0.092
5455.495	0.094
5455.677	0.099
5455.833	0.100
5455.990	0.103
5456.172	0.105
5456.328	0.107
5456.510	0.110
5456.667	0.113
5456.850	0.115
5457.005	0.115
5457.162	0.117
5457.343	0.121
5457.500	0.121
5457.657	0.121
5457.838	0.121
5457.995	0.121
5458.177	0.121
5458.333	0.121
5458.517	0.123
5458.672	0.121
5458.828	0.121
5459.010	0.121
5459.167	0.121
5459.350	0.119
5459.505	0.110
5459.662	0.003
5459.843	-0.057
5460.000	-0.078
5460.183	-0.087
5460.338	-0.088
5460.495	-0.088
5460.677	-0.088
5460.833	-0.088
5460.990	-0.088
5461.172	-0.089
5461.328	-0.083
5461.510	-0.008
5461.667	0.035
5461.850	0.048
5462.005	0.049
5462.162	0.049
5462.343	0.047
5462.500	0.044
5462.683	0.042
5462.838	0.039
5462.995	0.036
5463.177	0.032
5463.333	0.025
5463.517	0.020
5463.672	0.013
5463.828	0.008
5464.010	0.003
5464.167	0.002
5464.350	-0.003
5464.505	-0.006
5464.662	-0.010
5464.843	-0.017
5465.000	-0.020
5465.157	-0.023
5465.338	-0.026
5465.495	-0.031
5465.677	-0.032
5465.833	-0.037
5465.990	-0.037
5466.172	-0.041
5466.328	-0.043
5466.510	-0.048
5466.667	-0.049
5466.850	-0.053
5467.005	-0.056
5467.162	-0.058
5467.343	-0.063
5467.500	-0.063
5467.657	-0.066
5467.838	-0.068
5467.995	-0.070
5468.177	-0.073
5468.333	-0.073
5468.490	-0.077
5468.672	-0.078
5468.828	-0.078
5469.010	-0.078
5469.167	-0.079
5469.323	-0.082
5469.505	-0.083
5469.662	-0.083
5469.843	-0.083
5470.000	-0.083
5470.157	-0.083
5470.338	-0.085
5470.495	-0.087
5470.677	-0.088
5470.833	-0.086
5471.017	-0.088
5471.172	-0.088
5471.328	-0.088
5471.510	-0.088
5471.667	-0.088
5471.850	-0.088
5472.005	-0.088
5472.162	-0.088
5472.343	-0.088
5472.500	-0.088
5472.657	-0.088
5472.838	-0.088
5472.995	-0.088
5473.177	-0.088
5473.333	-0.088
5473.490	-0.088
5473.672	-0.088
5473.828	-0.088
5474.010	-0.088
5474.167	-0.088
5474.323	-0.088
5474.505	-0.088
5474.662	-0.088
5474.843	-0.088
5475.000	-0.088
5475.157	-0.088
5475.338	-0.088
5475.495	-0.088
5475.677	-0.088
5475.833	-0.088
5475.990	-0.088
5476.172	-0.088
5476.328	-0.088
5476.510	-0.088
5476.667	-0.088
5476.823	-0.088
5477.005	-0.088
5477.162	-0.088
5477.343	-0.088
5477.500	-0.088
5477.657	-0.088
5477.838	-0.088
5477.995	-0.088
5478.177	-0.088
5478.333	-0.088
5478.490	-0.088
5478.672	-0.088
5478.828	-0.088
5479.010	-0.088
5479.167	-0.088
5479.323	-0.088
5479.505	-0.088
5479.662	-0.088
5479.843	-0.088
5480.000	-0.088
5480.157	-0.088
