5600.000	1.976	-0.007
5600.104	1.976	-0.007
5600.169	1.976	-0.007
5600.260	1.976	-0.007
5600.338	1.976	-0.007
5600.417	1.976	-0.009
5600.507	1.976	-0.007
5600.586	1.976	-0.007
5600.664	1.976	-0.007
5600.755	1.976	-0.009
5600.833	1.976	-0.009
5600.924	1.976	-0.008
5601.002	1.976	-0.008
5601.093	1.976	-0.007
5601.172	1.976	-0.008
5601.250	1.976	-0.007
5601.341	1.976	-0.008
5601.419	1.976	-0.010
5601.510	1.976	-0.008
5601.588	1.976	-0.008
5601.667	1.976	-0.009
5601.744	1.976	-0.008
5601.836	1.976	-0.009
5601.914	1.976	-0.008
5602.005	1.976	-0.010
5602.096	1.976	-0.009
5602.161	1.976	-0.009
5602.252	1.976	-0.010
5602.331	1.976	-0.010
5602.422	1.976	-0.009
5602.500	1.976	-0.008
5602.591	1.976	-0.010
5602.669	1.976	-0.011
5602.748	1.976	-0.009
5602.838	1.976	-0.007
5602.917	1.976	-0.009
5602.994	1.976	-0.011
5603.086	1.976	-0.009
5603.164	1.976	-0.008
5603.255	1.976	-0.007
5603.333	1.976	-0.010
5603.411	1.976	-0.007
5603.502	1.976	-0.007
5603.581	1.976	-0.009
5603.672	1.976	-0.011
5603.750	1.976	-0.009
5603.841	1.976	-0.007
5603.919	1.976	-0.008
5603.998	1.976	-0.009
5604.088	1.976	-0.010
5604.167	1.976	-0.008
5604.257	1.976	-0.009
5604.336	1.976	-0.010
5604.414	1.976	-0.009
5604.505	1.976	-0.009
5604.583	1.976	-0.010
5604.674	1.976	-0.007
5604.752	1.976	-0.008
5604.831	1.976	-0.009
5604.922	1.976	-0.008
5605.000	1.976	-0.008
5605.078	1.976	-0.008
5605.169	1.976	-0.008
5605.248	1.976	-0.008
5605.338	1.976	-0.007
5605.417	1.976	-0.008
5605.494	1.976	-0.007
5605.586	1.976	-0.007
5605.664	1.976	-0.007
5605.755	1.976	-0.007
5605.833	1.976	-0.007
5605.911	1.976	-0.007
5606.002	1.976	-0.008
5606.081	1.976	-0.007
5606.172	1.976	-0.007
5606.250	1.976	-0.008
5606.341	1.976	-0.007
5606.419	1.976	-0.007
5606.498	1.976	-0.007
5606.588	1.976	-0.007
5606.667	1.976	-0.007
5606.744	1.976	-0.007
5606.836	1.975	-0.008
5606.914	1.976	-0.007
5607.005	1.976	-0.007
5607.083	1.976	-0.007
5607.174	1.974	-0.007
5607.252	1.976	-0.007
5607.331	1.975	-0.007
5607.422	1.976	-0.007
5607.500	1.976	-0.008
5607.578	1.976	-0.007
5607.669	1.973	-0.007
5607.748	1.974	-0.007
5607.838	1.972	-0.007
5607.917	1.972	-0.007
5607.994	1.971	-0.007
5608.086	1.971	-0.007
5608.164	1.972	-0.007
5608.255	1.971	-0.007
5608.333	1.971	-0.007
5608.424	1.971	-0.007
5608.502	1.971	-0.007
5608.581	1.971	-0.007
5608.672	1.971	-0.007
5608.750	1.971	-0.007
5608.828	1.971	-0.007
5608.919	1.971	-0.007
5608.998	1.971	-0.007
5609.088	1.971	-0.007
5609.167	1.971	-0.007
5609.257	1.970	-0.007
5609.336	1.970	-0.006
5609.414	1.971	-0.006
5609.505	1.971	-0.007
5609.583	1.968	-0.006
5609.674	1.970	-0.006
5609.752	1.968	-0.007
5609.831	1.967	-0.006
5609.922	1.967	-0.006
5610.000	1.967	-0.007
5610.091	1.966	-0.006
5610.169	1.966	-0.006
5610.248	1.966	-0.006
5610.338	1.966	-0.006
5610.417	1.966	-0.006
5610.507	1.966	-0.005
5610.586	1.966	-0.005
5610.664	1.966	-0.004
5610.755	1.965	-0.005
5610.833	1.965	-0.004
5610.924	1.965	-0.005
5611.002	1.965	-0.005
5611.081	1.962	-0.004
5611.172	1.961	-0.005
5611.250	1.961	-0.003
5611.341	1.962	-0.004
5611.419	1.961	-0.005
5611.498	1.961	-0.004
5611.588	1.961	-0.003
5611.667	1.961	-0.002
5611.744	1.961	-0.004
5611.836	1.961	-0.003
5611.914	1.961	-0.003
5612.005	1.961	-0.003
5612.083	1.961	-0.002
5612.174	1.961	-0.003
5612.252	1.961	-0.002
5612.331	1.961	-0.002
5612.422	1.961	-0.002
5612.500	1.961	-0.002
5612.578	1.961	-0.003
5612.669	1.960	-0.002
