"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.847077370E-1,4.300469499E1,-7.879409065E1,1.661312256E2,1.314136538E2,0.000000000E0,NaN,3.058275848E-3,3.740121233E0,6.000000000E0,-1.000000000E0
1.584708095E0,4.300467043E1,-7.879407372E1,1.669602661E2,1.322427428E2,7.599999905E-1,1.631250000E2,6.084507475E-3,3.535533906E0,3.000000000E0,-1.000000000E0
2.584731936E0,4.300464566E1,-7.879405830E1,1.681279297E2,1.334104549E2,7.599999905E-1,1.754296875E2,8.761062273E-3,3.535533906E0,3.000000000E0,-1.000000000E0
3.584727168E0,4.300462337E1,-7.879404590E1,1.684161377E2,1.336987062E2,8.799999952E-1,1.796484375E2,1.116294261E-2,3.535533906E0,3.000000000E0,-1.000000000E0
4.584725022E0,4.300460275E1,-7.879403709E1,1.700150757E2,1.352976835E2,9.900000095E-1,1.919531250E2,1.295070910E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.584725380E0,4.300458682E1,-7.879403408E1,1.705368652E2,1.358195025E2,9.900000095E-1,2.130468750E2,1.409885577E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.584720016E0,4.300457672E1,-7.879403701E1,1.702412109E2,1.355238657E2,9.900000095E-1,2.506640625E2,1.472614319E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.584717751E0,4.300457442E1,-7.879404405E1,1.695488892E2,1.348315463E2,1.019999981E0,2.865234375E2,1.531862612E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.584718585E0,4.300457689E1,-7.879405051E1,1.695112305E2,1.347938815E2,1.019999981E0,3.044531250E2,1.633704884E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.584714174E0,4.300458208E1,-7.879406082E1,1.695112306E2,1.347938697E2,1.019999981E0,3.044531180E2,1.702475129E-2,4.596105575E0,3.563755123E0,-1.000000000E0
1.058471346E1,4.300458787E1,-7.879406379E1,1.697778321E2,1.350604601E2,9.900000095E-1,3.160546818E2,1.795157345E-2,4.596105577E0,3.563755120E0,-1.000000000E0
1.158471477E1,4.300459530E1,-7.879406897E1,1.707591554E2,1.360417687E2,1.080000043E0,3.206249943E2,1.878479768E-2,4.596105580E0,3.563755116E0,-1.000000000E0
1.258471525E1,4.300460169E1,-7.879407432E1,1.705902101E2,1.358728105E2,1.029999971E0,3.213281196E2,1.968062053E-2,4.596105584E0,3.563755111E0,-1.000000000E0
1.358471334E1,4.300460539E1,-7.879408411E1,1.704819948E2,1.357645861E2,1.029999971E0,3.072656181E2,2.048499352E-2,4.596105592E0,3.563755101E0,-1.000000000E0
1.458471036E1,4.300460528E1,-7.879409400E1,1.704791261E2,1.357617151E2,1.029999971E0,2.907421794E2,2.118055268E-2,4.596105601E0,3.563755089E0,-1.000000000E0
1.558471179E1,4.300460043E1,-7.879409940E1,1.707031251E2,1.359857215E2,7.300000191E-1,2.647265564E2,2.315214812E-2,4.596105609E0,3.563755079E0,-1.000000000E0
1.658471107E1,4.300458551E1,-7.879411250E1,1.706691286E2,1.359517486E2,1.450000048E0,2.292187408E2,2.429607886E-2,4.596105624E0,3.563755060E0,-1.000000000E0
1.758471155E1,4.300457555E1,-7.879410893E1,1.706466676E2,1.359293064E2,1.009999990E0,2.035546841E2,2.572013256E-2,4.596105628E0,3.563755055E0,-1.000000000E0
1.858471262E1,4.300456340E1,-7.879410340E1,1.705923463E2,1.358750085E2,1.120000005E0,1.845703118E2,2.730675612E-2,4.596105628E0,3.563755055E0,-1.000000000E0
1.958471227E1,4.300455061E1,-7.879409477E1,1.705540773E2,1.358367647E2,1.279999971E0,1.705078143E2,2.863738755E-2,4.596105625E0,3.563755059E0,-1.000000000E0
2.058471274E1,4.300453958E1,-7.879408842E1,1.705247194E2,1.358074282E2,1.279999971E0,1.683984397E2,3.000716944E-2,4.596105622E0,3.563755063E0,-1.000000000E0
2.158471322E1,4.300452758E1,-7.879408461E1,1.707125856E2,1.359953170E2,1.279999971E0,1.726171889E2,3.105428615E-2,4.596105621E0,3.563755064E0,-1.000000000E0
2.258471298E1,4.300451852E1,-7.879408812E1,1.707229005E2,1.360056474E2,1.149999976E0,1.891406235E2,3.205263821E-2,4.596105625E0,3.563755058E0,-1.000000000E0
2.358471370E1,4.300451679E1,-7.879410017E1,1.705111085E2,1.357938555E2,1.049999952E0,2.218359316E2,3.415535218E-2,4.596105636E0,3.563755044E0,-1.000000000E0
2.458471394E1,4.300452692E1,-7.879412200E1,1.703289187E2,1.356116419E2,1.440000057E0,2.773828006E2,3.549245729E-2,4.596105652E0,3.563755023E0,-1.000000000E0
2.558471286E1,4.300453768E1,-7.879412936E1,1.701953126E2,1.354780146E2,1.129999995E0,3.016406170E2,3.678019036E-2,4.596105660E0,3.563755013E0,-1.000000000E0
2.658471370E1,4.300454762E1,-7.879413747E1,1.700885011E2,1.353711832E2,1.129999995E0,3.111328054E2,3.804608851E-2,4.596105667E0,3.563755005E0,-1.000000000E0
2.758471322E1,4.300455794E1,-7.879414404E1,1.702911989E2,1.355738607E2,1.100000024E0,3.188671814E2,3.928496906E-2,4.596105671E0,3.563754999E0,-1.000000000E0
2.858471322E1,4.300456783E1,-7.879415108E1,1.703251344E2,1.356077766E2,1.100000024E0,3.202734316E2,4.059777952E-2,4.596105675E0,3.563754993E0,-1.000000000E0
2.958471394E1,4.300457365E1,-7.879416512E1,1.747155525E2,1.399981807E2,8.945851867E-1,3.189755114E2,4.131871177E-2,4.758360913E0,3.344030271E0,-1.000000000E0
