"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.535090923E-2,4.300461396E1,-7.879399829E1,1.798337555E2,1.451163528E2,NaN,NaN,1.282778088E-2,7.551252195E1,9.938973427E0,-1.000000000E0
6.290135384E-1,4.300453247E1,-7.879388664E1,1.688610840E2,1.341438561E2,9.399999976E-1,1.705078125E2,3.551776006E-2,1.706214558E1,1.600000000E1,-1.000000000E0
1.371014237E0,4.300463628E1,-7.879412686E1,1.844737549E2,1.497562798E2,9.599999785E-1,2.003906250E2,3.682618058E-2,1.229266608E1,1.600000000E1,-1.000000000E0
2.371013045E0,4.300462588E1,-7.879413441E1,1.827946167E2,1.480771585E2,9.599999785E-1,1.947656250E2,3.806789230E-2,1.128811282E1,1.600000000E1,-1.000000000E0
3.371012568E0,4.300461557E1,-7.879412854E1,1.825538940E2,1.478364559E2,1.019999981E0,1.898437500E2,4.087454952E-2,1.005583612E1,1.200000000E1,-1.000000000E0
4.371012449E0,4.300459646E1,-7.879410599E1,1.808377686E2,1.461203705E2,1.179999948E0,2.010937500E2,4.256341778E-2,5.317114442E0,8.000000000E0,-1.000000000E0
5.371012211E0,4.300458385E1,-7.879409443E1,1.780968628E2,1.433794903E2,1.029999971E0,2.228906250E2,4.322188622E-2,3.653088391E0,6.000000000E0,-1.000000000E0
6.371030688E0,4.300457911E1,-7.879408957E1,1.759298706E2,1.412125079E2,1.029999971E0,2.629687500E2,4.340940939E-2,3.535533906E0,6.000000000E0,-1.000000000E0
7.371037841E0,4.300458079E1,-7.879408931E1,1.748009033E2,1.400835376E2,1.029999971E0,2.953125000E2,4.407706100E-2,3.535533906E0,4.000000000E0,-1.000000000E0
8.371042967E0,4.300458678E1,-7.879408982E1,1.746750488E2,1.399576722E2,1.029999971E0,3.114843750E2,4.498225747E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.371046543E0,4.300459487E1,-7.879409107E1,1.742189331E2,1.395015416E2,1.230000019E0,3.192187500E2,4.593189768E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.037105167E1,4.300460321E1,-7.879409359E1,1.739246216E2,1.392072144E2,1.230000019E0,3.213281250E2,4.677061187E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.137105298E1,4.300460950E1,-7.879409929E1,1.742413940E2,1.395239741E2,1.230000019E0,3.093750000E2,4.738127039E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.237105250E1,4.300461184E1,-7.879410608E1,1.739025269E2,1.391851010E2,1.190000057E0,2.879296875E2,4.856846621E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.337105632E1,4.300461514E1,-7.879411996E1,1.739025270E2,1.391850918E2,1.190000057E0,2.879296780E2,4.971618948E-2,4.596105624E0,3.563755060E0,-1.000000000E0
1.437105727E1,4.300460547E1,-7.879412490E1,1.732395021E2,1.385220830E2,1.070000052E0,2.527734290E2,5.163750646E-2,4.596105632E0,3.563755049E0,-1.000000000E0
1.537105358E1,4.300458821E1,-7.879412366E1,1.730963136E2,1.383789260E2,1.299999952E0,2.091796822E2,5.346990687E-2,4.596105638E0,3.563755042E0,-1.000000000E0
1.637105739E1,4.300457346E1,-7.879411364E1,1.723424074E2,1.376250489E2,1.299999952E0,1.824609370E2,5.519241361E-2,4.596105635E0,3.563755045E0,-1.000000000E0
1.737106180E1,4.300456009E1,-7.879410292E1,1.721257326E2,1.374084008E2,1.299999952E0,1.698046894E2,5.689849352E-2,4.596105630E0,3.563755052E0,-1.000000000E0
1.837106669E1,4.300454626E1,-7.879409385E1,1.718557741E2,1.371384695E2,1.379999995E0,1.680468774E2,5.826280394E-2,4.596105625E0,3.563755058E0,-1.000000000E0
1.937107193E1,4.300453410E1,-7.879409158E1,1.713863527E2,1.366690706E2,1.379999995E0,1.771875006E2,5.921386344E-2,4.596105625E0,3.563755058E0,-1.000000000E0
2.037107182E1,4.300452883E1,-7.879410079E1,1.718015138E2,1.370842389E2,1.120000005E0,2.056640584E2,6.065480577E-2,4.596105634E0,3.563755047E0,-1.000000000E0
2.137106812E1,4.300453262E1,-7.879411774E1,1.722194826E2,1.375021966E2,1.120000005E0,2.576953033E2,6.226016817E-2,4.596105648E0,3.563755029E0,-1.000000000E0
2.237106407E1,4.300454321E1,-7.879413116E1,1.721215212E2,1.374042127E2,1.240000010E0,2.928515529E2,6.377262385E-2,4.596105659E0,3.563755015E0,-1.000000000E0
2.337106073E1,4.300455494E1,-7.879414059E1,1.721237795E2,1.374064475E2,1.269999981E0,3.107812420E2,6.521569770E-2,4.596105667E0,3.563755004E0,-1.000000000E0
2.437105751E1,4.300456607E1,-7.879414970E1,1.724953615E2,1.377780072E2,1.269999981E0,3.171093678E2,6.668724421E-2,4.596105674E0,3.563754996E0,-1.000000000E0
2.537105417E1,4.300457700E1,-7.879415990E1,1.724641115E2,1.377467350E2,1.289999962E0,3.188671804E2,6.800141211E-2,4.596105681E0,3.563754986E0,-1.000000000E0
2.637105143E1,4.300458591E1,-7.879417052E1,1.722144167E2,1.374970214E2,1.289999962E0,3.157031175E2,6.980026511E-2,4.596105689E0,3.563754976E0,-1.000000000E0
2.737104976E1,4.300458632E1,-7.879419263E1,1.722537844E2,1.375363829E2,1.620000005E0,2.861718620E2,7.143735138E-2,4.596105707E0,3.563754952E0,-1.000000000E0
2.837104690E1,4.300457424E1,-7.879420415E1,1.721453860E2,1.374280034E2,1.620000005E0,2.482031124E2,7.306809762E-2,4.596105722E0,3.563754933E0,-1.000000000E0
2.937104440E1,4.300456073E1,-7.879419634E1,1.721691286E2,1.374517722E2,1.200000048E0,2.070703079E2,7.484942486E-2,4.596105724E0,3.563754931E0,-1.000000000E0
3.037104189E1,4.300454679E1,-7.879418555E1,1.720680544E2,1.373507258E2,1.200000048E0,1.761328132E2,7.635493967E-2,4.596105721E0,3.563754935E0,-1.000000000E0
3.137103975E1,4.300453454E1,-7.879417767E1,1.717460939E2,1.370287895E2,1.200000048E0,1.708593766E2,7.836243440E-2,4.596105717E0,3.563754940E0,-1.000000000E0
