"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.850793839E-2,4.300460342E1,-7.879398760E1,1.780106201E2,1.432932391E2,NaN,NaN,4.384015152E-2,4.004630364E1,9.464962959E0,-1.000000000E0
4.217339754E-1,4.300451612E1,-7.879451334E1,1.781781464E2,1.434607911E2,NaN,NaN,8.884093466E-2,4.009210209E1,7.309720993E0,-1.000000000E0
6.122139692E-1,4.300465526E1,-7.879399368E1,1.642238770E2,1.295064010E2,1.100000024E0,1.891406250E2,9.025009693E-2,5.413986641E0,8.000000000E0,-1.000000000E0
1.310213566E0,4.300465182E1,-7.879401036E1,1.713663330E2,1.366488591E2,1.159999967E0,1.901953125E2,9.219433724E-2,4.930948058E0,8.000000000E0,-1.000000000E0
2.310213566E0,4.300463435E1,-7.879401111E1,1.726268311E2,1.379093884E2,1.159999967E0,1.842187500E2,9.435818184E-2,3.873228144E0,6.000000000E0,-1.000000000E0
3.310213685E0,4.300461490E1,-7.879401212E1,1.715399170E2,1.368225092E2,1.159999967E0,2.003906250E2,9.583007780E-2,3.535533906E0,4.000000000E0,-1.000000000E0
4.310213327E0,4.300460333E1,-7.879402092E1,1.700528564E2,1.353354673E2,1.240000010E0,2.334375000E2,9.695131803E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.310213327E0,4.300459881E1,-7.879403324E1,1.718228149E2,1.371054308E2,1.259999990E0,2.805468750E2,9.795484056E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.310230136E0,4.300460178E1,-7.879404489E1,1.708643799E2,1.361469875E2,1.259999990E0,3.048046875E2,9.897812546E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.310228348E0,4.300460811E1,-7.879405403E1,1.704346924E2,1.357172863E2,1.230000019E0,3.178125000E2,1.000856399E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.310227275E0,4.300461587E1,-7.879406258E1,1.700184326E2,1.353010104E2,1.220000029E0,3.188671875E2,1.011281538E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.310226083E0,4.300462291E1,-7.879407104E1,1.694364014E2,1.347189644E2,1.220000029E0,3.090234375E2,1.019574902E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.031022406E1,4.300462567E1,-7.879408051E1,1.693433228E2,1.346258784E2,1.220000029E0,2.844140625E2,1.028670125E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.131021988E1,4.300462152E1,-7.879409015E1,1.692515869E2,1.345341476E2,1.190000057E0,2.485546875E2,1.040981610E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.231021452E1,4.300461142E1,-7.879409635E1,1.696109619E2,1.348935393E2,1.190000057E0,2.105859375E2,1.052881233E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.331021535E1,4.300460220E1,-7.879410378E1,1.696109621E2,1.348935542E2,1.190000057E0,2.105859324E2,1.070839620E-1,4.596105613E0,3.563755074E0,-1.000000000E0
1.431021488E1,4.300458697E1,-7.879409643E1,1.693237306E2,1.346063520E2,1.210000038E0,1.835156244E2,1.088868556E-1,4.596105613E0,3.563755074E0,-1.000000000E0
1.531021488E1,4.300457188E1,-7.879408831E1,1.693784182E2,1.346610688E2,1.340000033E0,1.712109392E2,1.105350807E-1,4.596105611E0,3.563755077E0,-1.000000000E0
