"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.040609837E-2,4.300450377E1,-7.879426399E1,1.782069855E2,1.434897149E2,NaN,NaN,3.256228402E-2,1.244913809E2,9.749066353E0,-1.000000000E0
6.185618639E-1,4.300463150E1,-7.879462433E1,1.870081787E2,1.522905877E2,1.269999981E0,3.037500000E2,6.409723840E-2,1.460915417E1,1.200000000E1,-1.000000000E0
1.831562281E0,4.300456662E1,-7.879424681E1,1.738554688E2,1.391380892E2,1.269999981E0,3.420703125E2,6.511812156E-2,5.369278657E0,6.000000000E0,-1.000000000E0
2.831562042E0,4.300457391E1,-7.879423918E1,1.736417236E2,1.389243328E2,1.090000033E0,3.571875000E2,6.614866348E-2,4.939585809E0,6.000000000E0,-1.000000000E0
3.831560969E0,4.300457894E1,-7.879424983E1,1.740026245E2,1.392852220E2,9.700000286E-1,3.592968750E2,6.681543681E-2,3.535533906E0,4.000000000E0,-1.000000000E0
4.831560731E0,4.300458489E1,-7.879425083E1,1.750250244E2,1.403076109E2,8.500000238E-1,2.460937500E0,6.747376704E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.831560850E0,4.300459013E1,-7.879424706E1,1.751400146E2,1.404225926E2,1.019999981E0,2.531250000E1,6.825523828E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.831584334E0,4.300459189E1,-7.879423776E1,1.743924561E2,1.396750332E2,9.200000167E-1,6.433593750E1,6.924451116E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.831580520E0,4.300458707E1,-7.879422753E1,1.740748291E2,1.393574175E2,9.200000167E-1,1.037109375E2,7.057613201E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.831576824E0,4.300457739E1,-7.879421789E1,1.728451538E2,1.381277621E2,9.399999976E-1,1.335937500E2,7.197893559E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.831570864E0,4.300456608E1,-7.879421026E1,1.721916504E2,1.374742809E2,9.599999785E-1,1.441406250E2,7.331952636E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.083156621E1,4.300455526E1,-7.879420297E1,1.718006592E2,1.370833110E2,9.599999785E-1,1.437890625E2,7.458148451E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.183156407E1,4.300454579E1,-7.879419442E1,1.714450684E2,1.367277394E2,1.029999971E0,1.371093750E2,7.577793010E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.283156562E1,4.300453800E1,-7.879418428E1,1.711392822E2,1.364219699E2,1.029999971E0,1.269140625E2,7.680649157E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.383156610E1,4.300453243E1,-7.879417418E1,1.711392824E2,1.364219826E2,1.029999971E0,1.269140694E2,7.775197378E-2,4.596105719E0,3.563754937E0,-1.000000000E0
1.483156347E1,4.300453112E1,-7.879416269E1,1.710979005E2,1.363806060E2,9.200000167E-1,1.086328198E2,7.865276469E-2,4.596105708E0,3.563754951E0,-1.000000000E0
1.583155680E1,4.300453629E1,-7.879415416E1,1.706958619E2,1.359785602E2,9.200000167E-1,7.945313257E1,7.990045180E-2,4.596105698E0,3.563754964E0,-1.000000000E0
1.683155286E1,4.300454751E1,-7.879415387E1,1.709494630E2,1.362321411E2,8.799999952E-1,3.550781678E1,8.117411589E-2,4.596105693E0,3.563754971E0,-1.000000000E0
1.783155024E1,4.300455855E1,-7.879415804E1,1.712425538E2,1.365252110E2,8.799999952E-1,4.921875632E0,8.251217266E-2,4.596105691E0,3.563754974E0,-1.000000000E0
1.883154845E1,4.300457022E1,-7.879416201E1,1.713958741E2,1.366785093E2,1.039999962E0,3.564843745E2,8.368276027E-2,4.596105691E0,3.563754974E0,-1.000000000E0
1.983154643E1,4.300458028E1,-7.879416627E1,1.710809327E2,1.363635487E2,1.070000052E0,3.526171863E2,8.478170822E-2,4.596105691E0,3.563754973E0,-1.000000000E0
2.083154511E1,4.300458974E1,-7.879417020E1,1.705051271E2,1.357877250E2,1.070000052E0,3.519140612E2,8.572896712E-2,4.596105692E0,3.563754971E0,-1.000000000E0
2.183154500E1,4.300459810E1,-7.879417244E1,1.709169923E2,1.361995746E2,1.029999971E0,3.540234366E2,8.659374421E-2,4.596105692E0,3.563754972E0,-1.000000000E0
2.283154619E1,4.300460522E1,-7.879416817E1,1.711514894E2,1.364340599E2,9.599999785E-1,1.160156411E1,8.774323104E-2,4.596105687E0,3.563754978E0,-1.000000000E0
2.383154643E1,4.300460685E1,-7.879415421E1,1.711425172E2,1.364250883E2,9.599999785E-1,5.273438139E1,8.934137751E-2,4.596105675E0,3.563754993E0,-1.000000000E0
2.483154595E1,4.300459907E1,-7.879413768E1,1.711130373E2,1.363956265E2,1.149999976E0,9.949219699E1,9.067259015E-2,4.596105662E0,3.563755011E0,-1.000000000E0
2.583154631E1,4.300458828E1,-7.879413061E1,1.712048341E2,1.364874446E2,1.149999976E0,1.286718825E2,9.180360240E-2,4.596105655E0,3.563755019E0,-1.000000000E0
2.683154595E1,4.300457907E1,-7.879412467E1,1.712380372E2,1.365206658E2,1.080000043E0,1.378125061E2,9.294648349E-2,4.596105651E0,3.563755025E0,-1.000000000E0
2.783154702E1,4.300457010E1,-7.879411781E1,1.714910890E2,1.367737354E2,1.039999962E0,1.399218806E2,9.381894474E-2,4.596105646E0,3.563755031E0,-1.000000000E0
2.883154631E1,4.300456402E1,-7.879411104E1,1.715638429E2,1.368465020E2,1.039999962E0,1.332421938E2,9.473950671E-2,4.596105642E0,3.563755037E0,-1.000000000E0
2.983154750E1,4.300455650E1,-7.879410632E1,1.715350343E2,1.368177081E2,1.019999981E0,1.399218805E2,9.585623526E-2,4.596105638E0,3.563755041E0,-1.000000000E0
3.083154690E1,4.300454946E1,-7.879409652E1,1.714797365E2,1.367624254E2,1.070000052E0,1.332421940E2,9.684376621E-2,4.596105631E0,3.563755050E0,-1.000000000E0
3.183154702E1,4.300454593E1,-7.879408537E1,1.714130861E2,1.366957842E2,1.019999981E0,1.209375073E2,9.788225842E-2,4.596105622E0,3.563755063E0,-1.000000000E0
3.283154726E1,4.300455057E1,-7.879407429E1,1.713392945E2,1.366219871E2,9.800000191E-1,8.753907069E1,9.895895323E-2,4.596105610E0,3.563755078E0,-1.000000000E0
3.383154750E1,4.300456005E1,-7.879407700E1,1.736314354E2,1.389141102E2,8.088466819E-1,3.535989822E2,1.003686901E-1,4.752793584E0,3.351938273E0,-1.000000000E0
3.483154643E1,4.300457054E1,-7.879408674E1,1.736416909E2,1.389243443E2,1.124202533E0,3.441884264E2,1.014400956E-1,4.763583026E0,3.336587146E0,-1.000000000E0
3.583154690E1,4.300457987E1,-7.879409003E1,1.743590120E2,1.396416478E2,1.127041743E0,3.492435923E2,1.028480352E-1,4.764904668E0,3.334699468E0,-1.000000000E0
3.683154726E1,4.300459110E1,-7.879409803E1,1.741843890E2,1.394670026E2,1.130404707E0,3.509570866E2,1.045923964E-1,4.762900428E0,3.337561467E0,-1.000000000E0
3.783154631E1,4.300460678E1,-7.879409855E1,1.744108628E2,1.396934479E2,1.374759562E0,9.696461225E0,1.060017075E-1,4.754248167E0,3.349874834E0,-1.000000000E0
3.883154607E1,4.300461003E1,-7.879408179E1,1.744739797E2,1.397565632E2,7.843686352E-1,4.028959591E1,1.077358462E-1,4.757686942E0,3.344989087E0,-1.000000000E0
3.983154583E1,4.300461112E1,-7.879406052E1,1.743004899E2,1.395830767E2,1.084494003E0,8.024554469E1,1.095903561E-1,4.756782476E0,3.346275169E0,-1.000000000E0
4.083154583E1,4.300459866E1,-7.879404536E1,1.743357626E2,1.396183758E2,9.737707033E-1,1.193830508E2,1.111413553E-1,4.758247847E0,3.344191152E0,-1.000000000E0
4.183154643E1,4.300458886E1,-7.879403178E1,1.746457755E2,1.399284097E2,1.004409366E0,1.369987071E2,1.128430067E-1,4.759027164E0,3.343082034E0,-1.000000000E0
4.283154631E1,4.300457502E1,-7.879402287E1,1.746889813E2,1.399716426E2,1.073794751E0,1.525420272E2,1.142336644E-1,4.757790472E0,3.344841829E0,-1.000000000E0
4.383154583E1,4.300457210E1,-7.879400624E1,1.747791639E2,1.400618347E2,9.195115297E-1,1.228413926E2,1.157433627E-1,4.759469701E0,3.342451974E0,-1.000000000E0
4.483154571E1,4.300456128E1,-7.879399503E1,1.745655554E2,1.398482485E2,1.191613281E0,1.327876567E2,1.173864966E-1,4.760881255E0,3.340441095E0,-1.000000000E0
4.583154595E1,4.300455840E1,-7.879397521E1,1.749713461E2,1.402540494E2,1.087178368E0,1.052776064E2,1.195891995E-1,4.759472404E0,3.342448125E0,-1.000000000E0
4.683154500E1,4.300457676E1,-7.879398536E1,1.742349294E2,1.395175970E2,8.281944950E-1,7.103651402E1,1.212954869E-1,4.719660446E0,3.398432331E0,-1.000000000E0
4.783154523E1,4.300459133E1,-7.879399196E1,1.745713618E2,1.398540015E2,8.902973924E-1,1.336921272E1,1.221918149E-1,4.723470637E0,3.393134564E0,-1.000000000E0
4.883154500E1,4.300459932E1,-7.879399338E1,1.742613704E2,1.395439953E2,8.198341858E-1,9.905761654E0,"",4.726428568E0,3.389013135E0,-1.000000000E0
