"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.954302311E-2,4.300450860E1,-7.879423677E1,1.779664154E2,1.432491429E2,NaN,NaN,4.517080920E-3,3.500000000E1,9.359672546E0,-1.000000000E0
5.621050596E-1,4.300450901E1,-7.879429232E1,1.781623535E2,1.434450664E2,NaN,NaN,2.596518441E-2,3.508184425E1,7.398397446E0,-1.000000000E0
6.153799295E-1,4.300465991E1,-7.879445661E1,1.698792725E2,1.351616723E2,6.999999881E-1,3.568359375E2,3.029367503E-2,8.302071609E0,8.000000000E0,-1.000000000E0
1.459380031E0,4.300463774E1,-7.879441286E1,1.761453247E2,1.414277754E2,8.899999857E-1,4.640625000E1,3.256111075E-2,8.045952191E0,8.000000000E0,-1.000000000E0
2.459380031E0,4.300462664E1,-7.879438947E1,1.797405396E2,1.450230161E2,8.899999857E-1,1.054687500E0,3.476305521E-2,7.214175144E0,6.000000000E0,-1.000000000E0
3.459380746E0,4.300462173E1,-7.879436323E1,1.778554688E2,1.431379607E2,1.080000043E0,1.757812500E1,3.699336580E-2,3.825011654E0,4.000000000E0,-1.000000000E0
4.459380269E0,4.300461893E1,-7.879433608E1,1.774714966E2,1.427540004E2,1.120000005E0,2.777343750E1,3.938443257E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.459380627E0,4.300461339E1,-7.879430766E1,1.764985962E2,1.417811171E2,1.240000010E0,7.312500000E1,4.201190449E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.459395289E0,4.300460128E1,-7.879427992E1,1.758994751E2,1.411820248E2,1.330000043E0,1.156640625E2,4.448770079E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.459393144E0,4.300458573E1,-7.879425813E1,1.753542480E2,1.406368312E2,1.240000010E0,1.367578125E2,4.674345295E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.459392428E0,4.300457031E1,-7.879424010E1,1.752502441E2,1.405328596E2,1.250000000E0,1.406250000E2,4.876469539E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.459393501E0,4.300455723E1,-7.879422284E1,1.748651123E2,1.401477556E2,1.190000057E0,1.332421875E2,5.043656174E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.045939410E1,4.300454898E1,-7.879420565E1,1.745827026E2,1.398653652E2,1.190000057E0,1.149609375E2,5.169794698E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.145939219E1,4.300454776E1,-7.879419023E1,1.744372559E2,1.397199244E2,1.139999986E0,7.839843750E1,5.282237160E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.245939207E1,4.300455422E1,-7.879417959E1,1.743113403E2,1.395939999E2,1.139999986E0,2.953125000E1,5.396239749E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.345939052E1,4.300456315E1,-7.879417270E1,1.743113405E2,1.395939857E2,1.139999986E0,2.953125470E1,5.549555080E-2,4.596105708E0,3.563754951E0,-1.000000000E0
1.445938957E1,4.300457677E1,-7.879417559E1,1.739815676E2,1.392641875E2,1.299999952E0,1.406250267E0,5.682911317E-2,4.596105704E0,3.563754957E0,-1.000000000E0
1.545938861E1,4.300458854E1,-7.879417872E1,1.738626711E2,1.391452691E2,1.340000033E0,3.536718738E2,5.822016598E-2,4.596105702E0,3.563754959E0,-1.000000000E0
1.645939052E1,4.300460101E1,-7.879418018E1,1.734136354E2,1.386962106E2,1.370000005E0,3.536718737E2,5.960740539E-2,4.596105700E0,3.563754962E0,-1.000000000E0
1.745938933E1,4.300461283E1,-7.879417472E1,1.737555544E2,1.390381096E2,1.370000005E0,6.328126263E0,6.101813905E-2,4.596105692E0,3.563754972E0,-1.000000000E0
1.845938480E1,4.300461809E1,-7.879415894E1,1.735240480E2,1.388065977E2,1.370000005E0,3.726563194E1,6.285132651E-2,4.596105678E0,3.563754990E0,-1.000000000E0
1.945938075E1,4.300460864E1,-7.879414046E1,1.735300295E2,1.388126008E2,1.269999981E0,8.859376062E1,6.465706315E-2,4.596105663E0,3.563755010E0,-1.000000000E0
2.045937908E1,4.300459403E1,-7.879413077E1,1.735905763E2,1.388731764E2,1.220000029E0,1.276171956E2,6.645782378E-2,4.596105654E0,3.563755021E0,-1.000000000E0
2.145937991E1,4.300457937E1,-7.879412137E1,1.736188967E2,1.389015255E2,1.340000033E0,1.416796945E2,6.813266780E-2,4.596105648E0,3.563755029E0,-1.000000000E0
2.245937955E1,4.300456667E1,-7.879411030E1,1.735218508E2,1.388045053E2,1.340000033E0,1.420312569E2,6.974747765E-2,4.596105640E0,3.563755039E0,-1.000000000E0
2.345938063E1,4.300455578E1,-7.879409717E1,1.735106813E2,1.387933588E2,1.360000014E0,1.367578203E2,7.131849334E-2,4.596105630E0,3.563755051E0,-1.000000000E0
2.445938087E1,4.300454907E1,-7.879408016E1,1.735773928E2,1.388600866E2,1.440000057E0,1.237500100E2,7.188926581E-2,4.596105617E0,3.563755069E0,-1.000000000E0
2.545938122E1,4.300455225E1,-7.879407465E1,1.735627442E2,1.388454337E2,7.200000286E-1,1.023046934E2,7.322027638E-2,4.596105608E0,3.563755081E0,-1.000000000E0
2.645938134E1,4.300456164E1,-7.879406450E1,1.733593141E2,1.386419891E2,1.019999981E0,6.222657005E1,7.491182727E-2,4.596105596E0,3.563755096E0,-1.000000000E0
2.745938170E1,4.300457648E1,-7.879406904E1,1.730673219E2,1.383499691E2,1.019999981E0,1.195312677E1,7.669962418E-2,4.596105592E0,3.563755100E0,-1.000000000E0
2.845938206E1,4.300459242E1,-7.879407200E1,1.731547243E2,1.384373420E2,1.320000052E0,1.054687703E0,7.846918148E-2,4.596105590E0,3.563755104E0,-1.000000000E0
2.945938134E1,4.300460731E1,-7.879407965E1,1.733007815E2,1.385833704E2,1.519999981E0,3.494531227E2,7.991591577E-2,4.596105591E0,3.563755102E0,-1.000000000E0
3.045938241E1,4.300462019E1,-7.879408218E1,1.733656008E2,1.386481659E2,1.519999981E0,3.533203110E2,8.133065062E-2,4.596105591E0,3.563755103E0,-1.000000000E0
