"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.963004589E-2,4.300409595E1,-7.879534041E1,1.802444305E2,1.455276252E2,NaN,NaN,1.014210370E-1,6.043454010E2,9.869948387E0,-1.000000000E0
1.952837706E0,4.300452542E1,-7.879424010E1,1.715898438E2,1.368725401E2,0.000000000E0,NaN,1.022319135E-1,3.535533906E0,3.000000000E0,-1.000000000E0
2.952837706E0,4.300453263E1,-7.879424161E1,1.716608887E2,1.369435716E2,9.700000286E-1,3.571875000E2,1.033550038E-1,3.535533906E0,3.000000000E0,-1.000000000E0
3.952836990E0,4.300454273E1,-7.879424161E1,1.716281738E2,1.369108386E2,9.300000072E-1,2.214843750E1,1.042435539E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.952836394E0,4.300455028E1,-7.879423801E1,1.718473511E2,1.371300032E2,9.300000072E-1,2.671875000E1,1.049920639E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.952836633E0,4.300455355E1,-7.879422996E1,1.718984985E2,1.371811467E2,9.300000072E-1,7.699218750E1,1.058896418E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.952835798E0,4.300455120E1,-7.879421940E1,1.716573486E2,1.369400037E2,1.059999943E0,1.177734375E2,1.069137539E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.952858210E0,4.300454449E1,-7.879421077E1,1.715397949E2,1.368224642E2,1.080000043E0,1.388671875E2,1.080069035E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.952861547E0,4.300453620E1,-7.879420356E1,1.713876953E2,1.366703814E2,1.080000043E0,1.458984375E2,1.091164369E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.952864289E0,4.300452827E1,-7.879419526E1,1.712490845E2,1.365317869E2,1.120000005E0,1.402734375E2,1.101452580E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.095286787E1,4.300452228E1,-7.879418562E1,1.712998047E2,1.365825203E2,1.009999990E0,1.293750000E2,1.110591233E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.195286918E1,4.300452027E1,-7.879417473E1,1.715117188E2,1.367944408E2,1.110000014E0,1.023046875E2,1.118165300E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.295287085E1,4.300452283E1,-7.879416609E1,1.713040771E2,1.365867967E2,1.009999990E0,7.523437500E1,1.128240454E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.395287681E1,4.300452514E1,-7.879415411E1,1.713040773E2,1.365867957E2,1.009999990E0,7.523438317E1,1.139204592E-1,4.596105702E0,3.563754959E0,-1.000000000E0
1.495287788E1,4.300453493E1,-7.879415574E1,1.717862550E2,1.370689553E2,7.799999714E-1,4.078125426E1,1.153097760E-1,4.596105698E0,3.563754964E0,-1.000000000E0
1.595288217E1,4.300454719E1,-7.879415904E1,1.715900880E2,1.368727654E2,9.599999785E-1,9.492188824E0,1.164724120E-1,4.596105696E0,3.563754967E0,-1.000000000E0
1.695288932E1,4.300455735E1,-7.879416242E1,1.721326905E2,1.374153488E2,1.000000000E0,7.031251027E-1,1.177261458E-1,4.596105696E0,3.563754967E0,-1.000000000E0
1.795288908E1,4.300456810E1,-7.879416709E1,1.722238160E2,1.375064538E2,1.000000000E0,3.529687490E2,1.188900613E-1,4.596105696E0,3.563754967E0,-1.000000000E0
