"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.646944046E-3,4.300321353E1,-7.879841785E1,1.780436707E2,1.433276832E2,NaN,NaN,2.149063559E-1,1.750000000E2,8.745724678E0,-1.000000000E0
2.639839649E-1,4.300303358E1,-7.879578656E1,1.780436401E2,1.433286369E2,NaN,NaN,4.210500137E-1,9.085049569E1,9.089064598E0,-1.000000000E0
1.357764006E0,4.300451252E1,-7.879425796E1,1.745376587E2,1.398203738E2,5.899999738E-1,3.065625000E2,4.219119850E-1,9.095839120E0,1.200000000E1,-1.000000000E0
2.357571840E0,4.300451432E1,-7.879426827E1,1.744122925E2,1.396950018E2,5.899999738E-1,3.164062500E0,4.232906745E-1,3.981007307E0,6.000000000E0,-1.000000000E0
3.380612850E0,4.300452660E1,-7.879426592E1,1.767573242E2,1.420400120E2,5.899999738E-1,3.536718750E2,4.243380290E-1,3.535533906E0,4.000000000E0,-1.000000000E0
4.381335020E0,4.300453569E1,-7.879426257E1,1.752372437E2,1.405199159E2,5.600000024E-1,3.578906250E2,4.252361534E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.362630844E0,4.300454357E1,-7.879426014E1,1.753252563E2,1.406079150E2,6.600000262E-1,3.582421875E2,4.261384202E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.362853050E0,4.300455116E1,-7.879425620E1,1.752183838E2,1.405010297E2,7.200000286E-1,8.437500000E0,4.270391598E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.343073249E0,4.300455736E1,-7.879424907E1,1.753864746E2,1.406691112E2,7.099999785E-1,3.234375000E1,4.279471620E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.343091130E0,4.300455962E1,-7.879423834E1,1.751397705E2,1.404224057E2,7.200000286E-1,7.382812500E1,4.289586067E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.343108892E0,4.300455644E1,-7.879422669E1,1.750265503E2,1.403091941E2,7.500000000E-1,1.142578125E2,4.300209149E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.034312451E1,4.300454986E1,-7.879421722E1,1.749824219E2,1.402650799E2,8.299999833E-1,1.357031250E2,4.311643179E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.134314132E1,4.300454160E1,-7.879420884E1,1.747359009E2,1.400185759E2,8.299999833E-1,1.413281250E2,4.322687799E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.234315693E1,4.300453356E1,-7.879420088E1,1.744327393E2,1.397154308E2,8.199999928E-1,1.413281250E2,4.330883692E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.334317327E1,4.300452779E1,-7.879419459E1,1.744327394E2,1.397154428E2,8.199999928E-1,1.413281293E2,4.340980028E-1,4.596105740E0,3.563754910E0,-1.000000000E0
1.434318566E1,4.300452047E1,-7.879418725E1,1.740689698E2,1.393516883E2,8.100000024E-1,1.409765668E2,4.348774931E-1,4.596105734E0,3.563754917E0,-1.000000000E0
1.534319854E1,4.300451576E1,-7.879418014E1,1.737377930E2,1.390205218E2,7.099999785E-1,1.342968793E2,4.358336373E-1,4.596105729E0,3.563754925E0,-1.000000000E0
1.634320998E1,4.300451201E1,-7.879416956E1,1.735270997E2,1.388098379E2,8.199999928E-1,1.230468807E2,4.364733197E-1,4.596105720E0,3.563754936E0,-1.000000000E0
1.734321928E1,4.300451238E1,-7.879416171E1,1.734890138E2,1.387717532E2,7.099999785E-1,1.072265682E2,4.370877007E-1,4.596105712E0,3.563754946E0,-1.000000000E0
1.834322798E1,4.300451612E1,-7.879415615E1,1.735900880E2,1.388728221E2,5.600000024E-1,8.472656716E1,4.379188581E-1,4.596105704E0,3.563754956E0,-1.000000000E0
1.934323728E1,4.300452331E1,-7.879415332E1,1.735545655E2,1.388372874E2,5.699999928E-1,4.640625345E1,4.388996495E-1,4.596105699E0,3.563754963E0,-1.000000000E0
2.034324586E1,4.300453205E1,-7.879415486E1,1.732939454E2,1.385766511E2,6.700000167E-1,1.476562643E1,4.398880694E-1,4.596105696E0,3.563754967E0,-1.000000000E0
2.134325445E1,4.300454055E1,-7.879415843E1,1.736085206E2,1.388912101E2,6.700000167E-1,3.596484375E2,4.409356349E-1,4.596105696E0,3.563754967E0,-1.000000000E0
2.234326518E1,4.300454964E1,-7.879416181E1,1.736066285E2,1.388893008E2,7.200000286E-1,3.540234369E2,4.419026694E-1,4.596105696E0,3.563754966E0,-1.000000000E0
2.334327424E1,4.300455814E1,-7.879416435E1,1.735507813E2,1.388334377E2,7.599999905E-1,3.547265619E2,4.429564194E-1,4.596105697E0,3.563754966E0,-1.000000000E0
2.434328282E1,4.300456726E1,-7.879416787E1,1.734600831E2,1.387427221E2,8.600000143E-1,3.526171866E2,4.438010286E-1,4.596105697E0,3.563754965E0,-1.000000000E0
2.534329021E1,4.300457467E1,-7.879417015E1,1.736079102E2,1.388905354E2,7.799999714E-1,3.522656241E2,4.448990922E-1,4.596105697E0,3.563754965E0,-1.000000000E0
2.634329820E1,4.300458454E1,-7.879417002E1,1.736478883E2,1.389304956E2,8.600000143E-1,3.582421873E2,4.459184183E-1,4.596105694E0,3.563754969E0,-1.000000000E0
2.734330559E1,4.300459190E1,-7.879416255E1,1.731776734E2,1.384602694E2,8.500000238E-1,2.285156526E1,4.475016656E-1,4.596105686E0,3.563754979E0,-1.000000000E0
2.834331143E1,4.300459220E1,-7.879414308E1,1.733024904E2,1.385850907E2,1.169999957E0,7.066407174E1,4.487125503E-1,4.596105670E0,3.563755000E0,-1.000000000E0
2.934331763E1,4.300458413E1,-7.879413308E1,1.733466798E2,1.386292972E2,9.200000167E-1,1.068750074E2,4.499269340E-1,4.596105660E0,3.563755013E0,-1.000000000E0
3.034332347E1,4.300457498E1,-7.879412493E1,1.730138551E2,1.382964910E2,9.200000167E-1,1.272656311E2,4.509679451E-1,4.596105653E0,3.563755022E0,-1.000000000E0
3.134332967E1,4.300456658E1,-7.879411927E1,1.728979493E2,1.381806018E2,8.299999833E-1,1.378125047E2,4.520736836E-1,4.596105648E0,3.563755028E0,-1.000000000E0
3.234333456E1,4.300455806E1,-7.879411226E1,1.730404054E2,1.383230749E2,8.299999833E-1,1.399218795E2,4.542618317E-1,4.596105644E0,3.563755034E0,-1.000000000E0
3.334333897E1,4.300454051E1,-7.879410009E1,1.737698951E2,1.390525994E2,9.721252631E-1,1.337600774E2,4.555006275E-1,4.755015985E0,3.348784856E0,-1.000000000E0
3.434334207E1,4.300453273E1,-7.879408918E1,1.737617159E2,1.390444369E2,1.014893974E0,1.359118868E2,4.563741221E-1,4.755923116E0,3.347496430E0,-1.000000000E0
3.534334612E1,4.300452740E1,-7.879408129E1,1.735498403E2,1.388325728E2,9.273743633E-1,1.248313802E2,4.573151168E-1,4.757567654E0,3.345158748E0,-1.000000000E0
3.634335017E1,4.300453087E1,-7.879407073E1,1.734895426E2,1.387722715E2,7.393498866E-1,1.072287574E2,4.583218346E-1,4.758042663E0,3.344483076E0,-1.000000000E0
3.734335291E1,4.300453980E1,-7.879406866E1,1.733403244E2,1.386230378E2,5.952822442E-1,5.241399111E1,4.597723710E-1,4.760703153E0,3.340694916E0,-1.000000000E0
3.834335649E1,4.300454880E1,-7.879408157E1,1.731183409E2,1.384010348E2,7.497012653E-1,5.180913438E0,4.612339909E-1,4.761139563E0,3.340072917E0,-1.000000000E0
3.934335995E1,4.300456175E1,-7.879408467E1,1.723681375E2,1.376508073E2,1.031962071E0,3.045452624E0,4.624287605E-1,4.720251525E0,3.397611304E0,-1.000000000E0
4.034336221E1,4.300457032E1,-7.879409354E1,1.733740579E2,1.386567101E2,9.989071588E-1,3.471847025E2,4.634330601E-1,4.720998111E0,3.396573843E0,-1.000000000E0
4.134336555E1,4.300457921E1,-7.879409567E1,1.732536436E2,1.385362792E2,9.691732483E-1,3.507145516E2,4.639766131E-1,4.721492098E0,3.395887130E0,-1.000000000E0
4.234336758E1,4.300458380E1,-7.879409796E1,1.729960572E2,1.382786839E2,7.274787091E-1,3.519815879E2,4.655084561E-1,4.722168445E0,3.394946569E0,-1.000000000E0
4.334336925E1,4.300459749E1,-7.879410008E1,1.728666044E2,1.381492059E2,1.098369536E0,3.536972708E2,4.666751330E-1,4.723180562E0,3.393538332E0,-1.000000000E0
4.434337163E1,4.300460533E1,-7.879409054E1,1.733574998E2,1.386400896E2,1.051856275E0,1.508020466E1,4.682684184E-1,4.724737870E0,3.391369796E0,-1.000000000E0
4.534337282E1,4.300460338E1,-7.879407113E1,1.733995564E2,1.386821546E2,9.595734578E-1,5.842207112E1,4.695830772E-1,4.724323590E0,3.391946882E0,-1.000000000E0
4.634337473E1,4.300459750E1,-7.879405710E1,1.732616107E2,1.385442230E2,9.087582924E-1,9.111411187E1,4.708543857E-1,4.722697193E0,3.394210992E0,-1.000000000E0
4.734337723E1,4.300458942E1,-7.879404604E1,1.735361942E2,1.388188238E2,8.771301627E-1,1.156922064E2,4.721378531E-1,4.720600777E0,3.397126041E0,-1.000000000E0
4.834337759E1,4.300457984E1,-7.879403723E1,1.736149298E2,1.388975789E2,8.750551508E-1,1.316838657E2,4.731981947E-1,4.719982943E0,3.397984409E0,-1.000000000E0
4.934337890E1,4.300457188E1,-7.879403006E1,1.737407833E2,1.390234485E2,8.543837182E-1,1.383911397E2,4.742015597E-1,4.721141510E0,3.396374520E0,-1.000000000E0
5.034338033E1,4.300456502E1,-7.879402204E1,1.737084129E2,1.389910925E2,8.852848331E-1,1.398837403E2,4.756706486E-1,4.721027101E0,3.396533548E0,-1.000000000E0
5.134338176E1,4.300455498E1,-7.879401030E1,1.737311773E2,1.390138779E2,1.152048185E0,1.411241967E2,4.768443473E-1,4.722676328E0,3.394240023E0,-1.000000000E0
5.234338272E1,4.300455764E1,-7.879399633E1,1.733218923E2,1.386045916E2,9.952580960E-1,1.177785218E2,4.785915107E-1,4.721631477E0,3.395693335E0,-1.000000000E0
5.334338295E1,4.300457105E1,-7.879398514E1,1.735611407E2,1.388438187E2,9.643343432E-1,7.095623939E1,4.801464992E-1,4.721930698E0,3.395277238E0,-1.000000000E0
5.434338403E1,4.300458503E1,-7.879398527E1,1.735238104E2,1.388064631E2,9.767656298E-1,3.327476218E1,4.814892685E-1,4.722645499E0,3.394282917E0,-1.000000000E0
5.534338450E1,4.300459646E1,-7.879399061E1,1.738499031E2,1.391325339E2,1.116755627E0,8.353252647E0,"",4.725530883E0,3.390264725E0,-1.000000000E0
