"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.481791496E-2,4.300450265E1,-7.879425159E1,1.792803497E2,1.445630842E2,NaN,NaN,1.740262747E-3,3.489852519E2,9.947026253E0,-1.000000000E0
6.273773909E-1,4.300451633E1,-7.879426198E1,1.705995483E2,1.358822556E2,0.000000000E0,1.279687500E2,2.305427521E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.916377306E0,4.300452136E1,-7.879426299E1,1.706113281E2,1.358940261E2,6.700000167E-1,3.550781250E2,3.144360877E-3,3.535533906E0,3.000000000E0,-1.000000000E0
2.916377664E0,4.300452890E1,-7.879426315E1,1.706401367E2,1.359228210E2,6.700000167E-1,7.382812500E0,3.959936022E-3,3.535533906E0,3.000000000E0,-1.000000000E0
3.916377664E0,4.300453557E1,-7.879425896E1,1.709429932E2,1.362256665E2,7.799999714E-1,2.214843750E1,4.731889811E-3,3.535533906E0,3.000000000E0,-1.000000000E0
4.916377187E0,4.300453858E1,-7.879425041E1,1.711815186E2,1.364641886E2,1.080000043E0,6.855468750E1,5.747290575E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.916376352E0,4.300453649E1,-7.879423826E1,1.713068237E2,1.365895006E2,1.149999976E0,1.142578125E2,6.986137997E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.916398168E0,4.300452903E1,-7.879422694E1,1.711211548E2,1.364038479E2,1.149999976E0,1.378125000E2,8.228435267E-3,3.535533906E0,3.000000000E0,-1.000000000E0
7.916396260E0,4.300452031E1,-7.879421739E1,1.713080444E2,1.365907557E2,1.210000038E0,1.444921875E2,9.348903330E-3,3.535533906E0,3.000000000E0,-1.000000000E0
8.916396976E0,4.300451294E1,-7.879420800E1,1.712161255E2,1.364988524E2,1.129999995E0,1.388671875E2,1.040674626E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.916399121E0,4.300450774E1,-7.879419710E1,1.711307373E2,1.364134763E2,1.139999986E0,1.272656250E2,1.145507265E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.091640043E1,4.300450678E1,-7.879418428E1,1.711599121E2,1.364426560E2,1.129999995E0,1.061718750E2,1.247519756E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.191639829E1,4.300451143E1,-7.879417347E1,1.711884766E2,1.364712148E2,1.000000000E0,7.136718750E1,1.374174681E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.291639531E1,4.300452174E1,-7.879416685E1,1.713448486E2,1.366275700E2,1.000000000E0,2.707031250E1,1.474190146E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.391639519E1,4.300452975E1,-7.879416126E1,1.713448488E2,1.366275570E2,1.000000000E0,2.707031631E1,1.699018458E-2,4.596105706E0,3.563754954E0,-1.000000000E0
1.491639471E1,4.300454910E1,-7.879416928E1,1.716765747E2,1.369592461E2,1.279999971E0,3.519140625E2,1.827124452E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.591639662E1,4.300456051E1,-7.879417149E1,1.716765749E2,1.369592252E2,1.279999971E0,3.519140610E2,1.976179276E-2,4.596105703E0,3.563754957E0,-1.000000000E0
1.691639149E1,4.300457341E1,-7.879417650E1,1.716841432E2,1.369667690E2,1.269999981E0,3.491015605E2,2.110888071E-2,4.596105704E0,3.563754957E0,-1.000000000E0
1.791638756E1,4.300458551E1,-7.879417588E1,1.716514894E2,1.369340936E2,1.220000029E0,3.571874995E2,2.219768326E-2,4.596105701E0,3.563754961E0,-1.000000000E0
