"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.841589928E-2,4.300451138E1,-7.879424323E1,1.789324036E2,1.442151244E2,NaN,NaN,3.042906674E-2,6.254565114E1,9.620066643E0,-1.000000000E0
4.195069075E-1,4.300449242E1,-7.879461654E1,1.791593018E2,1.444419633E2,NaN,NaN,1.004024464E-1,6.258066244E1,7.345356464E0,-1.000000000E0
6.264994144E-1,4.300453557E1,-7.879375806E1,1.609655762E2,1.262483749E2,3.279999971E0,9.421875000E1,1.024748485E-1,3.331097357E1,2.400000000E1,-1.000000000E0
1.267499685E0,4.300453402E1,-7.879373266E1,1.610154419E2,1.262982498E2,3.279999971E0,9.421875000E1,1.450124082E-1,3.425438122E1,2.400000000E1,-1.000000000E0
2.267499208E0,4.300457668E1,-7.879425251E1,1.728825684E2,1.381651692E2,3.279999971E0,3.867187500E0,1.456282247E-1,6.461410071E0,6.000000000E0,-1.000000000E0
3.267499208E0,4.300458158E1,-7.879424899E1,1.733204956E2,1.386030885E2,1.110000014E0,7.382812500E0,1.465695959E-1,3.646030281E0,4.000000000E0,-1.000000000E0
4.267498493E0,4.300458930E1,-7.879424421E1,1.732203369E2,1.385029171E2,1.110000014E0,4.324218750E1,1.473701833E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.267498136E0,4.300459252E1,-7.879423541E1,1.729676514E2,1.382502280E2,1.059999943E0,4.957031250E1,1.484044089E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.267514467E0,4.300458909E1,-7.879422359E1,1.721636353E2,1.374462210E2,1.179999948E0,9.632812500E1,1.498471413E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.267517924E0,4.300457919E1,-7.879421211E1,1.720186157E2,1.373012222E2,1.179999948E0,1.325390625E2,1.513752090E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.267521024E0,4.300456696E1,-7.879420356E1,1.723132324E2,1.375958631E2,1.179999948E0,1.437890625E2,1.528594857E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.267523408E0,4.300455489E1,-7.879419576E1,1.722468872E2,1.375295416E2,1.169999957E0,1.420312500E2,1.541520524E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.026752961E1,4.300454529E1,-7.879418680E1,1.726887817E2,1.379714556E2,1.169999957E0,1.314843750E2,1.551644174E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.126753116E1,4.300453984E1,-7.879417682E1,1.729182129E2,1.382008991E2,1.120000005E0,1.142578125E2,1.560111417E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.226753163E1,4.300453938E1,-7.879416643E1,1.724840088E2,1.377666984E2,1.029999971E0,8.507812500E1,1.570383886E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.326753211E1,4.300454018E1,-7.879415384E1,1.724840089E2,1.377667003E2,1.029999971E0,8.507813358E1,1.583238120E-1,4.596105697E0,3.563754965E0,-1.000000000E0
1.426753151E1,4.300455152E1,-7.879415079E1,1.725233766E2,1.378060483E2,1.009999990E0,4.183594314E1,1.597793950E-1,4.596105689E0,3.563754976E0,-1.000000000E0
1.526752937E1,4.300456446E1,-7.879415350E1,1.724256593E2,1.377083070E2,1.129999995E0,9.492189059E0,1.610431301E-1,4.596105685E0,3.563754981E0,-1.000000000E0
1.626753080E1,4.300457543E1,-7.879415756E1,1.721388551E2,1.374214820E2,1.129999995E0,3.561328119E2,1.622412877E-1,4.596105684E0,3.563754982E0,-1.000000000E0
1.726753116E1,4.300458581E1,-7.879416150E1,1.721899415E2,1.374725488E2,1.129999995E0,3.512109361E2,1.634872028E-1,4.596105685E0,3.563754982E0,-1.000000000E0
1.826753199E1,4.300459690E1,-7.879416369E1,1.723352663E2,1.376178529E2,1.179999948E0,3.512109360E2,1.646947157E-1,4.596105683E0,3.563754983E0,-1.000000000E0
1.926753044E1,4.300460762E1,-7.879416129E1,1.726021730E2,1.378847410E2,1.169999957E0,1.757812800E0,1.658999743E-1,4.596105679E0,3.563754989E0,-1.000000000E0
2.026753020E1,4.300461369E1,-7.879414902E1,1.727044069E2,1.379869670E2,1.169999957E0,3.199219269E1,1.673388742E-1,4.596105667E0,3.563755004E0,-1.000000000E0
2.126753056E1,4.300460828E1,-7.879413294E1,1.730079347E2,1.382905086E2,1.110000014E0,7.910157162E1,1.688979272E-1,4.596105654E0,3.563755021E0,-1.000000000E0
2.226753294E1,4.300459657E1,-7.879412240E1,1.729259035E2,1.382085011E2,1.110000014E0,1.181250082E2,1.703939007E-1,4.596105645E0,3.563755033E0,-1.000000000E0
2.326753366E1,4.300458428E1,-7.879411494E1,1.727106935E2,1.379933151E2,1.169999957E0,1.353515694E2,1.717493540E-1,4.596105640E0,3.563755040E0,-1.000000000E0
2.426753438E1,4.300457299E1,-7.879410863E1,1.727883913E2,1.380710348E2,1.169999957E0,1.423828185E2,1.730497731E-1,4.596105636E0,3.563755045E0,-1.000000000E0
2.526753616E1,4.300456292E1,-7.879410049E1,1.729282838E2,1.382109476E2,1.169999957E0,1.406250062E2,1.743793886E-1,4.596105631E0,3.563755051E0,-1.000000000E0
2.626753640E1,4.300455352E1,-7.879409040E1,1.727155763E2,1.379982595E2,1.200000048E0,1.364062569E2,1.754861792E-1,4.596105624E0,3.563755060E0,-1.000000000E0
2.726753771E1,4.300454881E1,-7.879407841E1,1.726104738E2,1.378931685E2,1.110000014E0,1.230468828E2,1.769741934E-1,4.596105614E0,3.563755073E0,-1.000000000E0
2.826753759E1,4.300455090E1,-7.879406033E1,1.720258791E2,1.373085745E2,1.360000014E0,9.632813631E1,1.782807981E-1,4.596105597E0,3.563755094E0,-1.000000000E0
2.926753902E1,4.300456207E1,-7.879405536E1,1.719305421E2,1.372132187E2,1.110000014E0,5.625000772E1,1.799358726E-1,4.596105587E0,3.563755108E0,-1.000000000E0
3.026753914E1,4.300457652E1,-7.879406026E1,1.717182008E2,1.370008501E2,1.169999957E0,1.546875261E1,1.814612950E-1,4.596105584E0,3.563755111E0,-1.000000000E0
3.126753974E1,4.300458972E1,-7.879406538E1,1.716642458E2,1.369468700E2,1.230000019E0,3.585937497E2,1.827975105E-1,4.596105583E0,3.563755112E0,-1.000000000E0
3.226754057E1,4.300460052E1,-7.879407259E1,1.717619020E2,1.370445050E2,1.230000019E0,3.473437477E2,1.849537822E-1,4.596105586E0,3.563755109E0,-1.000000000E0
3.326754105E1,4.300459582E1,-7.879409831E1,1.749256292E2,1.402082342E2,1.091811668E0,3.443412178E2,1.863581696E-1,4.763049961E0,3.337348065E0,-1.000000000E0
3.426754093E1,4.300460558E1,-7.879408735E1,1.750805992E2,1.403631893E2,1.097600843E0,2.201786460E1,1.881934635E-1,4.764076818E0,3.335882058E0,-1.000000000E0
3.526754165E1,4.300460863E1,-7.879406517E1,1.751359951E2,1.404185853E2,1.192582550E0,6.320123022E1,1.899367720E-1,4.764228378E0,3.335665599E0,-1.000000000E0
3.626754272E1,4.300460230E1,-7.879404555E1,1.752486289E2,1.405312355E2,1.196866330E0,1.024955206E2,1.917463695E-1,4.758700596E0,3.343546870E0,-1.000000000E0
3.726754189E1,4.300458829E1,-7.879403423E1,1.752733039E2,1.405559385E2,1.066971583E0,1.331390933E2,1.937743812E-1,4.747468241E0,3.359476496E0,-1.000000000E0
3.826754308E1,4.300457157E1,-7.879402429E1,1.756199988E2,1.409026660E2,1.275575643E0,1.458518066E2,1.949414211E-1,4.749014327E0,3.357290567E0,-1.000000000E0
3.926754308E1,4.300456227E1,-7.879401763E1,1.759672780E2,1.412499637E2,1.180927642E0,1.427598448E2,1.963064855E-1,4.747957266E0,3.358785321E0,-1.000000000E0
4.026754344E1,4.300455562E1,-7.879400352E1,1.756387807E2,1.409214819E2,1.186671523E0,1.320914971E2,1.977923087E-1,4.746680397E0,3.360589568E0,-1.000000000E0
4.126754332E1,4.300455619E1,-7.879398526E1,1.754831243E2,1.407658290E2,1.289921708E0,1.085264752E2,1.994703598E-1,4.753800884E0,3.350509541E0,-1.000000000E0
4.226754308E1,4.300457089E1,-7.879398061E1,1.755518002E2,1.408344796E2,9.059931044E-1,4.946880260E1,2.008129268E-1,4.752920861E0,3.351757795E0,-1.000000000E0
4.326754272E1,4.300458258E1,-7.879398474E1,1.755426576E2,1.408253149E2,8.465391046E-1,2.180209897E1,"",4.750699030E0,3.354906222E0,-1.000000000E0
