"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.797600746E-2,4.300461833E1,-7.879399654E1,1.800288391E2,1.453114290E2,NaN,NaN,1.361118245E-1,7.518179520E1,9.659461975E0,-1.000000000E0
4.264841080E-1,4.300455956E1,-7.879566846E1,1.802477722E2,1.455300494E2,NaN,NaN,2.708094285E-1,7.521333601E1,7.347623348E0,-1.000000000E0
6.372928619E-1,4.300460732E1,-7.879401329E1,1.637257690E2,1.290083746E2,1.190000057E0,1.828125000E2,2.725331051E-1,1.011628783E1,1.200000000E1,-1.000000000E0
1.396292567E0,4.300459395E1,-7.879400256E1,1.712379761E2,1.365206084E2,1.190000057E0,1.796484375E2,2.735136521E-1,4.197820845E0,4.000000000E0,-1.000000000E0
2.396291852E0,4.300458515E1,-7.879400332E1,1.694408569E2,1.347235049E2,1.090000033E0,1.775390625E2,2.746030707E-1,3.752822368E0,4.000000000E0,-1.000000000E0
3.396292090E0,4.300457538E1,-7.879400223E1,1.695349731E2,1.348176390E2,1.080000043E0,1.789453125E2,2.755929199E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.396292567E0,4.300456650E1,-7.879400298E1,1.701103516E2,1.353930333E2,9.599999785E-1,1.866796875E2,2.764585782E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.396291614E0,4.300455954E1,-7.879400776E1,1.704138794E2,1.356965724E2,9.300000072E-1,2.081250000E2,2.772900290E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.396309257E0,4.300455644E1,-7.879401706E1,1.703928223E2,1.356755186E2,1.009999990E0,2.446875000E2,2.782731249E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.396309257E0,4.300455799E1,-7.879402896E1,1.702536011E2,1.355362916E2,9.300000072E-1,2.759765625E2,2.792993359E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.396307588E0,4.300456331E1,-7.879403927E1,1.703056641E2,1.355883424E2,8.999999762E-1,2.988281250E2,2.803559203E-1,3.535533906E0,3.000000000E0,-1.000000000E0
