"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.101799965E-2,4.300461044E1,-7.879400291E1,1.781306152E2,1.434132178E2,NaN,NaN,6.059375111E-3,3.957547513E1,9.459437370E0,-1.000000000E0
5.647900105E-1,4.300460989E1,-7.879407742E1,1.782377319E2,1.435203168E2,NaN,NaN,1.591537112E-2,3.965834233E1,7.427627087E0,-1.000000000E0
6.247218847E-1,4.300452392E1,-7.879404791E1,1.747745972E2,1.400573444E2,5.199999809E-1,1.803515625E2,1.961541203E-2,1.329003393E1,1.200000000E1,-1.000000000E0
1.444721818E0,4.300454332E1,-7.879401094E1,1.750326538E2,1.403153753E2,0.000000000E0,NaN,2.065697994E-2,6.293011888E0,8.000000000E0,-1.000000000E0
2.444721699E0,4.300454609E1,-7.879399871E1,1.740408936E2,1.393236131E2,5.199999809E-1,1.750781250E2,2.125505888E-2,4.730681307E0,6.000000000E0,-1.000000000E0
3.444721103E0,4.300454190E1,-7.879399410E1,1.736290283E2,1.389117566E2,1.059999943E0,1.785937500E2,2.185257465E-2,3.535533906E0,4.000000000E0,-1.000000000E0
4.444719553E0,4.300453682E1,-7.879399653E1,1.739899292E2,1.392726660E2,1.220000029E0,1.923046875E2,2.272422857E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.444719315E0,4.300453548E1,-7.879400709E1,1.734646606E2,1.387473972E2,1.330000043E0,2.264062500E2,2.411298239E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.444734216E0,4.300454085E1,-7.879402251E1,1.738533325E2,1.391360555E2,1.360000014E0,2.742187500E2,2.595340940E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.444735169E0,4.300455350E1,-7.879403709E1,1.737437134E2,1.390264099E2,1.360000014E0,3.044531250E2,2.795124803E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.444737792E0,4.300456939E1,-7.879404858E1,1.734298096E2,1.387124746E2,1.360000014E0,3.181640625E2,2.970394869E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.444745302E0,4.300458372E1,-7.879405755E1,1.733845215E2,1.386671585E2,1.169999957E0,3.181640625E2,3.116725277E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.044474483E1,4.300459424E1,-7.879406836E1,1.730906982E2,1.383733136E2,1.230000019E0,3.005859375E2,3.220288943E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.144474721E1,4.300459814E1,-7.879407993E1,1.727436523E2,1.380262578E2,1.210000038E0,2.657812500E2,3.309418763E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.244475174E1,4.300459336E1,-7.879408873E1,1.728132324E2,1.380958442E2,1.230000019E0,2.253515625E2,3.432305614E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.344475460E1,4.300458558E1,-7.879409946E1,1.728132326E2,1.380958557E2,1.230000019E0,2.253515552E2,3.608045054E-2,4.596105612E0,3.563755075E0,-1.000000000E0
1.444475710E1,4.300457020E1,-7.879409447E1,1.725714113E2,1.378540634E2,1.429999948E0,1.908984352E2,3.780019945E-2,4.596105615E0,3.563755072E0,-1.000000000E0
1.544476032E1,4.300455636E1,-7.879408505E1,1.725800173E2,1.378626967E2,1.500000000E0,1.719140643E2,3.944905108E-2,4.596105612E0,3.563755075E0,-1.000000000E0
1.644476426E1,4.300454228E1,-7.879407865E1,1.726292116E2,1.379119180E2,1.500000000E0,1.694531273E2,4.078952543E-2,4.596105610E0,3.563755077E0,-1.000000000E0
1.744476616E1,4.300453038E1,-7.879408122E1,1.726853030E2,1.379680302E2,1.500000000E0,1.824609370E2,4.221397228E-2,4.596105615E0,3.563755072E0,-1.000000000E0
1.844476748E1,4.300452873E1,-7.879409859E1,1.728364260E2,1.381191518E2,1.340000033E0,2.221874925E2,4.429162196E-2,4.596105629E0,3.563755054E0,-1.000000000E0
1.944476795E1,4.300454043E1,-7.879411850E1,1.727906496E2,1.380733494E2,1.379999995E0,2.773828011E2,4.586911680E-2,4.596105645E0,3.563755033E0,-1.000000000E0
2.044476855E1,4.300455354E1,-7.879412592E1,1.726796877E2,1.379623619E2,1.340000033E0,3.069140535E2,4.681812146E-2,4.596105651E0,3.563755025E0,-1.000000000E0
