"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.418301582E-2,4.300450317E1,-7.879422528E1,1.782893982E2,1.435721384E2,NaN,NaN,4.146700067E-2,1.117259145E2,9.774409294E0,-1.000000000E0
4.865210056E-1,4.300450839E1,-7.879473517E1,1.783479462E2,1.436305493E2,NaN,NaN,1.489818234E-1,1.117628923E2,7.458085060E0,-1.000000000E0
6.161942482E-1,4.300471624E1,-7.879344391E1,1.345822754E2,9.986482716E1,2.289999962E0,6.609375000E1,2.116050611E-1,4.311169149E1,2.400000000E1,-1.000000000E0
1.473194361E0,4.300463468E1,-7.879420591E1,1.604322510E2,1.257147590E2,2.289999962E0,3.589453125E2,2.145771452E-1,1.180167226E1,1.200000000E1,-1.000000000E0
2.473194361E0,4.300462957E1,-7.879424178E1,1.671071167E2,1.323896249E2,1.399999976E0,3.596484375E2,2.150911737E-1,6.149603571E0,6.000000000E0,-1.000000000E0
3.473194003E0,4.300462634E1,-7.879424631E1,1.715411377E2,1.368236506E2,1.259999990E0,4.289062500E1,2.160762010E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.473193526E0,4.300461972E1,-7.879423826E1,1.728939209E2,1.381764478E2,1.360000014E0,4.921875000E1,2.174786418E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.473192930E0,4.300461109E1,-7.879422569E1,1.739479980E2,1.392305436E2,1.440000057E0,1.037109375E2,2.194562012E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.473213077E0,4.300459625E1,-7.879421228E1,1.726721802E2,1.379547559E2,1.570000052E0,1.321875000E2,2.215430444E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.473209858E0,4.300457953E1,-7.879420063E1,1.726046753E2,1.378872840E2,1.440000057E0,1.385156250E2,2.232512144E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.473206282E0,4.300456629E1,-7.879418998E1,1.732823486E2,1.385649839E2,1.409999967E0,1.276171875E2,2.244715164E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.473204851E0,4.300455908E1,-7.879417866E1,1.741987305E2,1.394813815E2,1.090000033E0,1.026562500E2,2.252819556E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.047320068E1,4.300456038E1,-7.879416886E1,1.742723389E2,1.395549901E2,1.259999990E0,5.589843750E1,2.263808221E-1,3.535533906E0,3.000000000E0,-1.000000000E0
