"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.648330998E1,4.300458141E1,-7.879413537E1,1.694940797E2,1.347767014E2,8.500000238E-1,1.283203181E2,5.142415012E-1,4.596105661E0,3.563755011E0,-1.000000000E0
2.748331249E1,4.300457201E1,-7.879412733E1,1.694159547E2,1.346985953E2,9.200000167E-1,1.378125052E2,5.153763222E-1,4.596105655E0,3.563755019E0,-1.000000000E0
2.848331463E1,4.300456313E1,-7.879412045E1,1.693239137E2,1.346065720E2,9.200000167E-1,1.427343797E2,5.165330818E-1,4.596105651E0,3.563755025E0,-1.000000000E0
2.948331606E1,4.300455441E1,-7.879411269E1,1.693718873E2,1.346545633E2,9.200000167E-1,1.413281298E2,5.177847174E-1,4.596105645E0,3.563755032E0,-1.000000000E0
3.048331821E1,4.300454594E1,-7.879410256E1,1.694421388E2,1.347248326E2,9.700000286E-1,1.374609430E2,5.190705324E-1,4.596105638E0,3.563755042E0,-1.000000000E0
3.148331881E1,4.300453821E1,-7.879409080E1,1.696188966E2,1.349016073E2,1.059999943E0,1.325390690E2,5.201132206E-1,4.596105629E0,3.563755054E0,-1.000000000E0
3.248332143E1,4.300453551E1,-7.879407852E1,1.695650636E2,1.348477822E2,1.059999943E0,1.181250078E2,5.213655933E-1,4.596105618E0,3.563755067E0,-1.000000000E0
3.348332238E1,4.300453857E1,-7.879406369E1,1.736999101E2,1.389826270E2,8.538829184E-1,3.548420347E1,5.235255129E-1,4.755006470E0,3.348798366E0,-1.000000000E0
3.448332334E1,4.300455552E1,-7.879407666E1,1.737647197E2,1.390474027E2,1.052900428E0,3.561170353E2,5.246237926E-1,4.757011445E0,3.345949663E0,-1.000000000E0
3.548332453E1,4.300456217E1,-7.879408665E1,1.739365364E2,1.392192050E2,8.882895073E-1,3.466639465E2,5.258175462E-1,4.755702850E0,3.347809348E0,-1.000000000E0
3.648332584E1,4.300457231E1,-7.879409145E1,1.737337904E2,1.390164395E2,9.157299997E-1,3.467182849E2,5.273020500E-1,4.758703439E0,3.343542823E0,-1.000000000E0
3.748332727E1,4.300458508E1,-7.879409678E1,1.737398754E2,1.390225002E2,1.021862693E0,3.497763164E2,5.286024531E-1,4.760036281E0,3.341645050E0,-1.000000000E0
3.848332727E1,4.300459503E1,-7.879410519E1,1.737048663E2,1.389874710E2,9.782740533E-1,3.501220315E2,5.297850098E-1,4.758082839E0,3.344425919E0,-1.000000000E0
3.948332834E1,4.300460373E1,-7.879409681E1,1.737309528E2,1.390135439E2,1.019667254E0,2.277697679E1,5.314340405E-1,4.757517679E0,3.345229823E0,-1.000000000E0
4.048332965E1,4.300460865E1,-7.879407769E1,1.738462085E2,1.391287956E2,1.012587194E0,5.558576825E1,5.334202714E-1,4.754806189E0,3.349082730E0,-1.000000000E0
4.148333001E1,4.300460096E1,-7.879405564E1,1.739082809E2,1.391908873E2,9.425543481E-1,9.602181405E1,5.353533696E-1,4.758895764E0,3.343269080E0,-1.000000000E0
4.248333097E1,4.300458866E1,-7.879403885E1,1.742205402E2,1.395031730E2,9.985498046E-1,1.264757883E2,5.370949538E-1,4.758344647E0,3.344053416E0,-1.000000000E0
4.348333108E1,4.300457528E1,-7.879402771E1,1.743600319E2,1.396426916E2,1.311847668E0,1.443573621E2,5.383829856E-1,4.753019718E0,3.351617609E0,-1.000000000E0
4.448333192E1,4.300456526E1,-7.879401975E1,1.741554541E2,1.394381338E2,1.099386488E0,1.457780991E2,5.393227032E-1,4.755565063E0,3.348005072E0,-1.000000000E0
4.548333263E1,4.300455992E1,-7.879401079E1,1.741377851E2,1.394204767E2,9.583555209E-1,1.402528867E2,5.408303676E-1,4.745706164E0,3.361965205E0,-1.000000000E0
4.648333251E1,4.300454988E1,-7.879399834E1,1.749019120E2,1.401846248E2,1.326795500E0,1.322361029E2,5.418678883E-1,4.712849027E0,3.407871929E0,-1.000000000E0
4.748333323E1,4.300455370E1,-7.879398669E1,1.747818497E2,1.400645586E2,9.449390013E-1,1.066679605E2,5.431899006E-1,4.713525577E0,3.406936111E0,-1.000000000E0
4.848333395E1,4.300456558E1,-7.879398667E1,1.740687117E2,1.393513991E2,6.275448862E-1,5.315900134E1,5.446364143E-1,4.714112352E0,3.406124156E0,-1.000000000E0
4.948333478E1,4.300457842E1,-7.879398956E1,1.738917375E2,1.391744011E2,8.493324550E-1,1.949876060E1,"",4.715227438E0,3.404580333E0,-1.000000000E0
