"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.791699886E-2,4.300461174E1,-7.879398979E1,1.779287415E2,1.432113449E2,NaN,NaN,8.620709346E-3,4.026399000E1,9.460841179E0,-1.000000000E0
6.293803453E-1,4.300460132E1,-7.879409485E1,1.725670166E2,1.378496125E2,8.100000024E-1,1.951171875E2,9.128391083E-3,9.245342650E0,1.200000000E1,-1.000000000E0
1.264379978E0,4.300459684E1,-7.879409602E1,1.726441650E2,1.379267688E2,8.100000024E-1,1.940625000E2,1.231416575E-2,9.332475675E0,1.200000000E1,-1.000000000E0
2.264380217E0,4.300457764E1,-7.879406693E1,1.699748535E2,1.352574991E2,8.100000024E-1,1.803515625E2,1.444151014E-2,4.717229618E0,6.000000000E0,-1.000000000E0
3.264379263E0,4.300456306E1,-7.879405000E1,1.727039185E2,1.379865946E2,1.210000038E0,1.887890625E2,1.571857660E-2,3.535533906E0,4.000000000E0,-1.000000000E0
4.264379382E0,4.300455246E1,-7.879404397E1,1.719191284E2,1.372018252E2,1.210000038E0,2.021484375E2,1.609311486E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.264378428E0,4.300454952E1,-7.879404623E1,1.711850586E2,1.364677601E2,1.139999986E0,2.408203125E2,1.683371851E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.264397025E0,4.300455367E1,-7.879405336E1,1.721250000E2,1.374076922E2,1.190000057E0,2.826562500E2,1.802190388E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.264401078E0,4.300456310E1,-7.879406023E1,1.724616699E2,1.377443434E2,1.169999957E0,3.093750000E2,1.945765197E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.264400125E0,4.300457521E1,-7.879406635E1,1.725307617E2,1.378134118E2,1.190000057E0,3.192187500E2,2.082021992E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.264397025E0,4.300458682E1,-7.879407171E1,1.729052124E2,1.381878403E2,1.169999957E0,3.237890625E2,2.199546396E-2,3.535533906E0,3.000000000E0,-1.000000000E0
