"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.642295837E-2,4.300450469E1,-7.879422963E1,1.762802124E2,1.415629487E2,NaN,NaN,1.757019726E-1,1.009363374E2,9.680891037E0,-1.000000000E0
4.901019335E-1,4.300444611E1,-7.879638885E1,1.762886810E2,1.415709823E2,NaN,NaN,3.583214577E-1,1.012476880E2,7.429622173E0,-1.000000000E0
6.070489883E-1,4.300461230E1,-7.879415461E1,1.850451050E2,1.503276662E2,1.269999981E0,3.424218750E2,3.590690932E-1,1.046815340E1,1.200000000E1,-1.000000000E0
1.191050529E0,4.300461872E1,-7.879415737E1,1.850491943E2,1.503317433E2,1.269999981E0,3.424218750E2,3.608407588E-1,1.054643719E1,1.200000000E1,-1.000000000E0
2.191049337E0,4.300461260E1,-7.879417749E1,1.760298462E2,1.413124011E2,1.269999981E0,3.540234375E2,3.621962596E-1,3.753118636E0,4.000000000E0,-1.000000000E0
3.191049695E0,4.300461528E1,-7.879419375E1,1.752916260E2,1.405741720E2,1.320000052E0,3.550781250E2,3.629059791E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.191049099E0,4.300461905E1,-7.879420079E1,1.759515991E2,1.412341366E2,1.340000033E0,2.355468750E1,3.633603037E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.191047788E0,4.300461515E1,-7.879419912E1,1.758913574E2,1.411739023E2,1.179999948E0,6.925781250E1,3.647846002E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.191067100E0,4.300460304E1,-7.879419342E1,1.761718750E2,1.414544432E2,1.350000024E0,1.181250000E2,3.667218835E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.191063046E0,4.300458611E1,-7.879418780E1,1.761583252E2,1.414409253E2,1.350000024E0,1.427343750E2,3.685507045E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.191062570E0,4.300456997E1,-7.879418344E1,1.762733154E2,1.415559457E2,1.389999986E0,1.423828125E2,3.700996895E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.191064835E0,4.300455698E1,-7.879417657E1,1.757789307E2,1.410615860E2,1.299999952E0,1.325390625E2,3.711164497E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.019106472E1,4.300454998E1,-7.879416852E1,1.759686890E2,1.412513590E2,1.299999952E0,1.093359375E2,3.717511668E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.119106174E1,4.300454969E1,-7.879416073E1,1.762683105E2,1.415509830E2,1.080000043E0,7.171875000E1,3.725736755E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.219106030E1,4.300455665E1,-7.879415729E1,1.762118530E2,1.414945138E2,1.080000043E0,2.285156250E1,3.736540577E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.319105744E1,4.300456561E1,-7.879415215E1,1.762118532E2,1.414944991E2,1.080000043E0,2.285156601E1,3.750105189E-1,4.596105685E0,3.563754981E0,-1.000000000E0
1.419105685E1,4.300457648E1,-7.879415972E1,1.766061403E2,1.418887647E2,1.110000014E0,3.571874995E2,3.765080329E-1,4.596105686E0,3.563754979E0,-1.000000000E0
1.519105661E1,4.300458874E1,-7.879416732E1,1.765151369E2,1.417977374E2,1.299999952E0,3.498046856E2,3.778545656E-1,4.596105690E0,3.563754975E0,-1.000000000E0
1.619105959E1,4.300460056E1,-7.879417091E1,1.766163942E2,1.418989725E2,1.299999952E0,3.526171861E2,3.791484848E-1,4.596105690E0,3.563754975E0,-1.000000000E0
1.719105911E1,4.300461166E1,-7.879416609E1,1.759058229E2,1.411883824E2,1.289999962E0,9.140626714E0,3.800942818E-1,4.596105684E0,3.563754983E0,-1.000000000E0
1.819105852E1,4.300461541E1,-7.879415566E1,1.758096925E2,1.410922479E2,1.269999981E0,3.128906802E1,3.813187801E-1,4.596105674E0,3.563754995E0,-1.000000000E0
1.919105542E1,4.300460816E1,-7.879414431E1,1.755449220E2,1.408274932E2,8.700000048E-1,7.312500696E1,3.835295147E-1,4.596105665E0,3.563755007E0,-1.000000000E0
