"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.147791862E-2,4.300426412E1,-7.879485673E1,1.751427155E2,1.404257283E2,NaN,NaN,2.385234765E-1,5.147926494E2,9.899989128E0,-1.000000000E0
5.682549477E-1,4.300446933E1,-7.879777652E1,1.751629181E2,1.404448300E2,NaN,NaN,5.461990187E-1,3.190000000E2,7.551875114E0,-1.000000000E0
6.053166389E-1,4.300460174E1,-7.879399720E1,1.720152588E2,1.372978784E2,0.000000000E0,NaN,5.461990187E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.194317460E0,4.300460174E1,-7.879399720E1,1.720158691E2,1.372984888E2,0.000000000E0,NaN,5.467354459E-1,3.535533906E0,3.000000000E0,-1.000000000E0
2.194316268E0,4.300459701E1,-7.879399594E1,1.719629517E2,1.372455801E2,0.000000000E0,1.715625000E2,5.476209747E-1,3.535533906E0,3.000000000E0,-1.000000000E0
3.194316030E0,4.300458904E1,-7.879399611E1,1.718159790E2,1.370986218E2,8.100000024E-1,1.891406250E2,5.483883635E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.194315314E0,4.300458221E1,-7.879399745E1,1.719033203E2,1.371859751E2,8.100000024E-1,1.873828125E2,5.490798996E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.194314480E0,4.300457664E1,-7.879400122E1,1.717511597E2,1.370338235E2,6.800000072E-1,2.088281250E2,5.498428556E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.194336653E0,4.300457190E1,-7.879400801E1,1.718506470E2,1.371333177E2,6.899999976E-1,2.397656250E2,5.506346224E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.194333911E0,4.300457090E1,-7.879401765E1,1.719381104E2,1.372207804E2,6.899999976E-1,2.728125000E2,5.514637430E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.194334626E0,4.300457333E1,-7.879402729E1,1.718715210E2,1.371541843E2,7.799999714E-1,2.963671875E2,5.523491086E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.194337726E0,4.300457848E1,-7.879403559E1,1.718045044E2,1.370871563E2,8.700000048E-1,3.104296875E2,5.532683026E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.019433343E1,4.300458435E1,-7.879404355E1,1.716235962E2,1.369062356E2,8.700000048E-1,3.174609375E2,5.541548500E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.119433033E1,4.300459038E1,-7.879405067E1,1.718635254E2,1.371461521E2,8.500000238E-1,3.237890625E2,5.549803611E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.219433022E1,4.300459596E1,-7.879405738E1,1.717168579E2,1.369994729E2,8.199999928E-1,3.230859375E2,5.558000339E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.319433093E1,4.300460186E1,-7.879406342E1,1.717168580E2,1.369994608E2,8.199999928E-1,3.230859334E2,5.566271415E-1,4.596105573E0,3.563755125E0,-1.000000000E0
1.419432855E1,4.300460591E1,-7.879407195E1,1.718696290E2,1.371522224E2,8.100000024E-1,3.142968702E2,5.574880287E-1,4.596105580E0,3.563755116E0,-1.000000000E0
1.519432414E1,4.300460700E1,-7.879408243E1,1.716775514E2,1.369601402E2,7.799999714E-1,2.956640566E2,5.583790170E-1,4.596105590E0,3.563755104E0,-1.000000000E0
1.619432580E1,4.300460334E1,-7.879409217E1,1.711958009E2,1.364783938E2,7.799999714E-1,2.710546810E2,5.594421110E-1,4.596105600E0,3.563755090E0,-1.000000000E0
1.719432878E1,4.300459488E1,-7.879409827E1,1.711433106E2,1.364259173E2,7.799999714E-1,2.380078070E2,5.606378564E-1,4.596105610E0,3.563755078E0,-1.000000000E0
1.819433093E1,4.300458413E1,-7.879409845E1,1.712180177E2,1.365006437E2,8.000000119E-1,2.053124971E2,5.616965369E-1,4.596105615E0,3.563755071E0,-1.000000000E0
1.919433355E1,4.300457482E1,-7.879409571E1,1.712827149E2,1.365653584E2,7.799999714E-1,1.866796867E2,5.630694852E-1,4.596105617E0,3.563755069E0,-1.000000000E0
2.019433403E1,4.300456325E1,-7.879408981E1,1.712359010E2,1.365185668E2,9.700000286E-1,1.722656261E2,5.643672321E-1,4.596105615E0,3.563755071E0,-1.000000000E0
2.119433379E1,4.300455248E1,-7.879408368E1,1.713621827E2,1.366448695E2,9.700000286E-1,1.676953142E2,5.656830774E-1,4.596105613E0,3.563755074E0,-1.000000000E0
2.219433272E1,4.300454147E1,-7.879407773E1,1.714570924E2,1.367398005E2,1.019999981E0,1.655859396E2,5.665614211E-1,4.596105610E0,3.563755077E0,-1.000000000E0
2.319433284E1,4.300453393E1,-7.879407450E1,1.712761231E2,1.365588456E2,8.100000024E-1,1.694531262E2,5.674358074E-1,4.596105609E0,3.563755079E0,-1.000000000E0
2.419433129E1,4.300452639E1,-7.879407753E1,1.710710450E2,1.363537803E2,8.100000024E-1,1.884374990E2,5.682634435E-1,4.596105613E0,3.563755074E0,-1.000000000E0
2.519433117E1,4.300452469E1,-7.879408744E1,1.707889405E2,1.360716764E2,7.200000286E-1,2.274609331E2,5.693358231E-1,4.596105621E0,3.563755063E0,-1.000000000E0
