"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.375006676E-3,4.300442606E1,-7.879430823E1,1.766110840E2,1.418939423E2,NaN,NaN,1.838108217E-2,4.172674368E1,7.694813251E0,-1.000000000E0
3.983974457E-3,4.300435822E1,-7.879451436E1,1.763954468E2,1.416783758E2,NaN,NaN,3.486884940E-2,4.404968680E1,8.289488792E0,-1.000000000E0
3.983974457E-3,4.300430033E1,-7.879470103E1,1.763549347E2,1.416379212E2,NaN,NaN,8.267271070E-2,4.404968680E1,6.388481140E0,-1.000000000E0
4.925639629E-1,4.300428540E1,-7.879528854E1,1.763301849E2,1.416130512E2,NaN,NaN,2.043684425E-1,4.414438737E1,6.478972435E0,-1.000000000E0
6.165148020E-1,4.300452882E1,-7.879382947E1,1.764667969E2,1.417495899E2,1.230000019E0,1.575000000E2,2.094052850E-1,7.633873363E0,8.000000000E0,-1.000000000E0
2.024514318E0,4.300453875E1,-7.879388991E1,1.709568481E2,1.362396082E2,1.230000019E0,1.842187500E2,2.114113729E-1,4.556147065E0,6.000000000E0,-1.000000000E0
3.024514794E0,4.300453649E1,-7.879391438E1,1.718779297E2,1.371606876E2,1.139999986E0,1.937109375E2,2.131589031E-1,3.596210258E0,4.000000000E0,-1.000000000E0
4.024513960E0,4.300453485E1,-7.879393576E1,1.726181641E2,1.379009196E2,1.139999986E0,2.070703125E2,2.149335514E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.024513364E0,4.300453649E1,-7.879395747E1,1.713171387E2,1.365998858E2,1.129999995E0,2.429296875E2,2.170494852E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.024513364E0,4.300454458E1,-7.879398102E1,1.708004761E2,1.360832028E2,1.340000033E0,2.837109375E2,2.192447828E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.024534464E0,4.300455795E1,-7.879400088E1,1.710374756E2,1.363201732E2,1.279999971E0,3.083203125E2,2.212579186E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.024535060E0,4.300457253E1,-7.879401555E1,1.709750366E2,1.362577043E2,1.279999971E0,3.202734375E2,2.230505891E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.024532676E0,4.300458586E1,-7.879402796E1,1.708245850E2,1.361072255E2,1.139999986E0,3.223828125E2,2.246267530E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.002452767E1,4.300459638E1,-7.879404095E1,1.707759399E2,1.360585583E2,1.210000038E0,3.100781250E2,2.260012834E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.102452648E1,4.300460195E1,-7.879405604E1,1.709956055E2,1.362782100E2,1.149999976E0,2.826562500E2,2.271051129E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.202452588E1,4.300460007E1,-7.879406936E1,1.712871094E2,1.365697140E2,1.149999976E0,2.478515625E2,2.282211210E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.302452528E1,4.300459194E1,-7.879407741E1,1.713151855E2,1.365978028E2,1.149999976E0,2.063671875E2,2.293713379E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.402452528E1,4.300458266E1,-7.879408368E1,1.713151857E2,1.365978181E2,1.149999976E0,2.063671832E2,2.310321704E-1,4.596105598E0,3.563755093E0,-1.000000000E0
1.502452612E1,4.300456810E1,-7.879407910E1,1.713639528E2,1.366466126E2,1.330000043E0,1.803515624E2,2.325366783E-1,4.596105601E0,3.563755089E0,-1.000000000E0
1.602452934E1,4.300455541E1,-7.879407270E1,1.716689455E2,1.369516297E2,1.399999976E0,1.683984399E2,2.338316109E-1,4.596105600E0,3.563755091E0,-1.000000000E0
1.702452922E1,4.300454403E1,-7.879406930E1,1.714065554E2,1.366892609E2,1.350000024E0,1.683984398E2,2.350748129E-1,4.596105600E0,3.563755090E0,-1.000000000E0
1.802452910E1,4.300453318E1,-7.879407299E1,1.712003786E2,1.364831028E2,1.350000024E0,1.803515624E2,2.364589500E-1,4.596105606E0,3.563755083E0,-1.000000000E0
1.902452958E1,4.300452928E1,-7.879408915E1,1.710571291E2,1.363398563E2,1.240000010E0,2.165624938E2,2.384122870E-1,4.596105620E0,3.563755065E0,-1.000000000E0
2.002452540E1,4.300453728E1,-7.879411054E1,1.709251711E2,1.362078785E2,1.350000024E0,2.671874887E2,2.401011815E-1,4.596105637E0,3.563755043E0,-1.000000000E0
2.102452302E1,4.300455056E1,-7.879412062E1,1.709288332E2,1.362115141E2,1.240000010E0,3.016406162E2,2.417427595E-1,4.596105646E0,3.563755031E0,-1.000000000E0
2.202452242E1,4.300456393E1,-7.879412918E1,1.708749391E2,1.361575939E2,1.299999952E0,3.174609301E2,2.430661163E-1,4.596105653E0,3.563755023E0,-1.000000000E0
