"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.270911217E-3,4.300368378E1,-7.879819086E1,1.860628891E2,1.513461118E2,NaN,NaN,3.434421790E-2,1.080000000E2,2.308609200E1,-1.000000000E0
5.513906479E-3,4.300380565E1,-7.879857894E1,1.850681229E2,1.503510289E2,NaN,NaN,4.080604312E-2,1.080000000E2,1.882325363E1,-1.000000000E0
5.513906479E-3,4.300382933E1,-7.879865151E1,1.846347275E2,1.499175726E2,NaN,NaN,4.025841847E-1,1.080000000E2,1.594804955E1,-1.000000000E0
2.006973863E0,4.300452425E1,-7.879430523E1,1.816372070E2,1.469198892E2,2.769999981E0,3.413671875E2,4.051638470E-1,5.276046616E1,6.400000000E1,-1.000000000E0
2.444054008E0,4.300454625E1,-7.879431529E1,1.851316528E2,1.504142928E2,2.769999981E0,3.413671875E2,4.208534220E-1,5.780811058E1,6.400000000E1,-1.000000000E0
3.448178887E0,4.300467948E1,-7.879437882E1,1.785920410E2,1.438744250E2,2.769999981E0,3.403125000E2,4.233641636E-1,3.045501302E1,1.600000000E1,-1.000000000E0
4.455433965E0,4.300466029E1,-7.879436256E1,1.784978638E2,1.437802864E2,8.600000143E-1,1.757812500E0,4.359226606E-1,2.350647576E1,1.200000000E1,-1.000000000E0
4.920044065E0,4.300459470E1,-7.879423684E1,1.677039795E2,1.329865518E2,8.600000143E-1,4.570312500E0,4.383881323E-1,5.774833191E0,6.000000000E0,-1.000000000E0
5.916289926E0,4.300457387E1,-7.879422644E1,1.700508423E2,1.353334547E2,8.600000143E-1,6.187500000E1,4.393657273E-1,3.535533906E0,4.000000000E0,-1.000000000E0
6.892470241E0,4.300456604E1,-7.879422099E1,1.715347900E2,1.368174180E2,5.199999809E-1,6.257812500E1,4.402457646E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.891898513E0,4.300455820E1,-7.879422250E1,1.712968750E2,1.365795167E2,5.600000024E-1,6.257812500E1,4.416125825E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.891297221E0,4.300454604E1,-7.879422502E1,1.719947510E2,1.372774139E2,5.199999809E-1,6.292968750E1,4.426085318E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.890722513E0,4.300453775E1,-7.879422041E1,1.726555786E2,1.379382577E2,5.600000024E-1,1.364062500E2,4.437419057E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.089018679E1,4.300452815E1,-7.879421571E1,1.730994873E2,1.383821848E2,8.100000024E-1,1.364062500E2,4.447810835E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.188967359E1,4.300451956E1,-7.879421068E1,1.732496948E2,1.385324091E2,7.900000215E-1,1.367578125E2,4.454049154E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.288918257E1,4.300451507E1,-7.879420607E1,1.733364258E2,1.386191493E2,7.900000215E-1,1.364062500E2,4.461211503E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.388874710E1,4.300451155E1,-7.879419870E1,1.732338867E2,1.385166184E2,7.500000000E-1,1.360546875E2,4.468705264E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.488832998E1,4.300450669E1,-7.879419231E1,1.732338868E2,1.385166289E2,7.500000000E-1,1.360546919E2,4.478400426E-1,4.596105744E0,3.563754905E0,-1.000000000E0
1.588793850E1,4.300451100E1,-7.879418195E1,1.728306886E2,1.381134255E2,7.300000191E-1,8.894531861E1,4.485187753E-1,4.596105734E0,3.563754918E0,-1.000000000E0
1.688758171E1,4.300451209E1,-7.879417374E1,1.727797852E2,1.380625222E2,7.300000191E-1,8.859375610E1,4.488054152E-1,4.596105725E0,3.563754929E0,-1.000000000E0
1.788724148E1,4.300451420E1,-7.879417171E1,1.726727295E2,1.379554632E2,4.099999964E-1,8.859375343E1,4.493989464E-1,4.596105720E0,3.563754935E0,-1.000000000E0
1.888692105E1,4.300451877E1,-7.879416794E1,1.724776612E2,1.377603876E2,4.300000072E-1,8.859375360E1,4.500688210E-1,4.596105715E0,3.563754942E0,-1.000000000E0
1.988663960E1,4.300452477E1,-7.879416711E1,1.720690308E2,1.373517466E2,4.300000072E-1,8.859375360E1,4.504976624E-1,4.596105712E0,3.563754946E0,-1.000000000E0
2.088636744E1,4.300452467E1,-7.879417238E1,1.720690308E2,1.373517455E2,0.000000000E0,8.859375000E1,4.526561235E-1,4.596105714E0,3.563754943E0,-1.000000000E0
2.188611841E1,4.300454403E1,-7.879417431E1,1.721528931E2,1.374355724E2,5.600000024E-1,3.557812497E2,4.535757775E-1,4.596105711E0,3.563754947E0,-1.000000000E0
2.288588655E1,4.300455222E1,-7.879417588E1,1.716498414E2,1.369325055E2,6.299999952E-1,3.533203119E2,4.543497757E-1,4.596105710E0,3.563754948E0,-1.000000000E0
2.388566720E1,4.300455913E1,-7.879417701E1,1.714855347E2,1.367681861E2,6.299999952E-1,3.529687494E2,4.550261902E-1,4.596105709E0,3.563754950E0,-1.000000000E0
2.488546610E1,4.300456517E1,-7.879417803E1,1.715286256E2,1.368112658E2,6.000000238E-1,3.512109367E2,4.557177224E-1,4.596105708E0,3.563754951E0,-1.000000000E0
2.588527298E1,4.300457132E1,-7.879417929E1,1.713718262E2,1.366544551E2,6.000000238E-1,3.505078117E2,4.564544814E-1,4.596105708E0,3.563754952E0,-1.000000000E0
2.688509381E1,4.300457794E1,-7.879417964E1,1.709459840E2,1.362286008E2,6.000000238E-1,3.536718744E2,4.571641409E-1,4.596105706E0,3.563754954E0,-1.000000000E0
2.788492334E1,4.300458414E1,-7.879417758E1,1.711356202E2,1.364182264E2,5.899999738E-1,5.976563014E0,4.577036292E-1,4.596105703E0,3.563754958E0,-1.000000000E0
2.888476491E1,4.300458788E1,-7.879417334E1,1.712361451E2,1.365187456E2,5.899999738E-1,2.355468947E1,4.582647277E-1,4.596105698E0,3.563754964E0,-1.000000000E0
2.988461614E1,4.300458757E1,-7.879416645E1,1.713992310E2,1.366818338E2,4.799999893E-1,5.519531580E1,4.589483249E-1,4.596105692E0,3.563754973E0,-1.000000000E0
3.088447702E1,4.300458520E1,-7.879415870E1,1.715916138E2,1.368742228E2,4.799999893E-1,9.210937901E1,4.596151935E-1,4.596105684E0,3.563754982E0,-1.000000000E0
3.188434470E1,4.300458140E1,-7.879415236E1,1.716051026E2,1.368877200E2,4.799999893E-1,1.125000037E2,4.602510387E-1,4.596105678E0,3.563754990E0,-1.000000000E0
3.288422155E1,4.300457701E1,-7.879414734E1,1.714301758E2,1.367128024E2,4.699999988E-1,1.272656281E2,4.609378121E-1,4.596105674E0,3.563754995E0,-1.000000000E0
3.388410830E1,4.300457195E1,-7.879414250E1,1.714042359E2,1.366868728E2,5.099999905E-1,1.353515655E2,4.631217914E-1,4.596105670E0,3.563755000E0,-1.000000000E0
3.488400066E1,4.300455753E1,-7.879412426E1,1.727211647E2,1.380038322E2,5.379793090E-1,1.409717128E2,4.639015293E-1,4.746170252E0,3.361310008E0,-1.000000000E0
3.588389850E1,4.300455350E1,-7.879411642E1,1.726449210E2,1.379275977E2,6.041433326E-1,1.360547184E2,4.649825539E-1,4.744374659E0,3.363843951E0,-1.000000000E0
3.688380396E1,4.300454462E1,-7.879411099E1,1.729598997E2,1.382425938E2,6.222925073E-1,1.450414992E2,4.655528291E-1,4.743971992E0,3.364411802E0,-1.000000000E0
3.788371491E1,4.300454133E1,-7.879410562E1,1.731090293E2,1.383917307E2,5.816776034E-1,1.339955715E2,4.661000304E-1,4.743966992E0,3.364418853E0,-1.000000000E0
3.888363004E1,4.300453735E1,-7.879410165E1,1.727904780E2,1.380731875E2,5.857333351E-1,1.384443214E2,4.667339739E-1,4.743980462E0,3.364399858E0,-1.000000000E0
3.988355374E1,4.300453290E1,-7.879409678E1,1.727438957E2,1.380266145E2,5.407905444E-1,1.367032829E2,4.674956652E-1,4.743878798E0,3.364543206E0,-1.000000000E0
4.088347983E1,4.300452823E1,-7.879408993E1,1.725683162E2,1.378510450E2,6.122588943E-1,1.304831904E2,4.682720805E-1,4.744395969E0,3.363813895E0,-1.000000000E0
4.188341117E1,4.300452675E1,-7.879408059E1,1.726866074E2,1.379693413E2,5.674695340E-1,1.287216239E2,4.685684415E-1,4.744874796E0,3.363138445E0,-1.000000000E0
4.288334668E1,4.300452626E1,-7.879407701E1,1.725646330E2,1.378473687E2,5.280398033E-1,1.191890178E2,4.689817149E-1,4.744576624E0,3.363559081E0,-1.000000000E0
4.388328493E1,4.300452853E1,-7.879407299E1,1.726449212E2,1.379276538E2,4.412599783E-1,NaN,4.698916107E-1,4.745370729E0,3.362438651E0,-1.000000000E0
4.488322890E1,4.300453668E1,-7.879407400E1,1.729295408E2,1.382122584E2,2.967198798E-1,NaN,4.702274070E-1,4.747713113E0,3.359130427E0,-1.000000000E0
4.588317597E1,4.300453803E1,-7.879407031E1,1.729160298E2,1.381987459E2,3.077105470E-1,NaN,4.706576382E-1,4.745694745E0,3.361981324E0,-1.000000000E0
4.688312578E1,4.300454124E1,-7.879407328E1,1.730178990E2,1.383006086E2,3.584224574E-1,NaN,4.712920198E-1,4.747686273E0,3.359168363E0,-1.000000000E0
4.788307798E1,4.300454575E1,-7.879407805E1,1.725760251E2,1.378587254E2,4.250622259E-1,NaN,4.714707035E-1,4.753355421E0,3.351141489E0,-1.000000000E0
4.888303328E1,4.300454647E1,-7.879408002E1,1.726494100E2,1.379321085E2,8.959138678E-2,1.107470781E2,4.721329341E-1,4.715125456E0,3.404721570E0,-1.000000000E0
4.988299203E1,4.300455136E1,-7.879408466E1,1.724002886E2,1.376829771E2,5.204088243E-2,1.107470738E2,4.725930739E-1,4.713978582E0,3.406309287E0,-1.000000000E0
5.088295388E1,4.300455522E1,-7.879408670E1,1.721568001E2,1.374394812E2,9.403745961E-2,1.107470714E2,4.731264088E-1,4.715117356E0,3.404732787E0,-1.000000000E0
5.188291693E1,4.300455896E1,-7.879409081E1,1.724827945E2,1.377654678E2,4.206798425E-2,1.107470678E2,4.735646433E-1,4.716341085E0,3.403037438E0,-1.000000000E0
5.288288307E1,4.300456221E1,-7.879409385E1,1.722897773E2,1.375724439E2,7.527742382E-2,1.107470649E2,4.739241190E-1,4.717609383E0,3.401278986E0,-1.000000000E0
5.388285112E1,4.300456543E1,-7.879409349E1,1.723533657E2,1.376360267E2,1.205647604E-1,1.107470641E2,4.745002736E-1,4.717178721E0,3.401876239E0,-1.000000000E0
5.488282084E1,4.300456980E1,-7.879409731E1,1.725360625E2,1.378187147E2,5.842939180E-2,1.107470605E2,4.748281380E-1,4.717147465E0,3.401919580E0,-1.000000000E0
5.588279200E1,4.300457254E1,-7.879409878E1,1.724053090E2,1.376879559E2,6.771289292E-2,1.107470587E2,4.751983443E-1,4.718036117E0,3.400687023E0,-1.000000000E0
5.688276565E1,4.300457565E1,-7.879410039E1,1.722015319E2,1.374841727E2,1.354986630E-1,1.107470568E2,4.756635570E-1,4.717240746E0,3.401790231E0,-1.000000000E0
5.788274074E1,4.300457940E1,-7.879410294E1,1.722374656E2,1.375200990E2,1.390119317E-1,1.107470541E2,4.761309110E-1,4.717774327E0,3.401050195E0,-1.000000000E0
5.888271689E1,4.300458337E1,-7.879410485E1,1.723045776E2,1.375872034E2,1.018525021E-1,1.107470517E2,4.763763501E-1,4.717613131E0,3.401273787E0,-1.000000000E0
5.988269472E1,4.300458557E1,-7.879410505E1,1.724712135E2,1.377538353E2,6.711739715E-2,1.107470509E2,4.765885297E-1,4.720123998E0,3.397788468E0,-1.000000000E0
6.088267362E1,4.300458663E1,-7.879410288E1,1.721360046E2,1.374186250E2,1.701854765E-1,1.107470518E2,4.769416347E-1,4.721793497E0,3.395468039E0,-1.000000000E0
6.188265431E1,4.300458875E1,-7.879409964E1,1.722233739E2,1.375059913E2,2.064709265E-1,1.107470531E2,4.772551025E-1,4.723537782E0,3.393041092E0,-1.000000000E0
