Distance_(microns),Gray_Value
0.000000,6.500
0.024084,7.500
0.048168,26.500
0.072252,73.000
0.096336,147.500
0.120420,224.000
0.144504,255.000
0.168588,255.000
0.192672,202.000
0.216756,126.000
0.240840,70.000
0.264924,23.500
0.289008,16.000
0.313092,15.500
