Distance_(microns),Gray_Value
0.000000,291
0.008229,434
0.016459,772
0.024688,1367
0.032918,2205
0.041147,3210
0.049377,4316
0.057606,5516
0.065836,7378
0.074065,10528
0.082295,15227
0.090524,20945
0.098754,27451
0.106983,34632
0.115213,42149
0.123442,48635
0.131672,53028
0.139901,55197
0.148131,55301
0.156360,53609
0.164590,50270
0.172819,45884
0.181049,39940
0.189278,32723
0.197508,25080
0.205737,18462
0.213967,13338
0.222196,9714
0.230426,7304
0.238655,5797
0.246885,4745
0.255114,3741
0.263344,2794
0.271573,2022
0.279803,1419
0.288032,994
0.296262,757
