Distance_(microns),Gray_Value
0.000000,10.500
0.024084,13.038
0.048168,32.500
0.072252,61.346
0.096336,102.481
0.120420,187.308
0.144504,247.846
0.168588,241.692
0.192672,194.000
0.216756,120.923
0.240840,62.558
0.264924,38.808
0.289008,23.942
0.313092,10.000
