Distance_(microns),Gray_Value
0.000000,1548
0.008229,1909
0.016459,2545
0.024688,3653
0.032918,5383
0.041147,7875
0.049377,10977
0.057606,14660
0.065836,18918
0.074065,23859
0.082295,29890
0.090524,36938
0.098754,43867
0.106983,49271
0.115213,52809
0.123442,54807
0.131672,55301
0.139901,53881
0.148131,50819
0.156360,46533
0.164590,41196
0.172819,34797
0.181049,27610
0.189278,20970
0.197508,15868
0.205737,12115
0.213967,8997
0.222196,6452
0.230426,4627
0.238655,3514
0.246885,2859
0.255114,2378
0.263344,1951
