Distance_(microns),Gray_Value
0.000000,1.000
0.024084,1.000
0.048168,1.900
0.072252,9.375
0.096336,22.800
0.120420,40.500
0.144504,82.850
0.168588,135.663
0.192672,175.750
0.216756,230.125
0.240840,213.625
0.264924,198.812
0.289008,127.400
0.313092,103.725
0.337177,54.450
0.361261,20.938
0.385345,6.100
0.409429,2.763
0.433513,5.925
0.457597,4.575
0.481681,7.500
