Distance_(microns),Gray_Value
0.000000,1532.000
0.008229,2055.090
0.016459,2994.719
0.024688,4412.893
0.032918,6178.188
0.041147,8197.201
0.049377,10520.711
0.057606,13522.963
0.065836,17408.375
0.074065,22125.502
0.082295,26927.430
0.090524,31446.170
0.098754,35701.781
0.106983,39969.453
0.115213,43868.055
0.123442,45865.203
0.131672,45689.000
0.139901,42499.094
0.148131,38000.125
0.156360,31876.422
0.164590,24879.125
0.172819,17979.809
0.181049,12775.484
0.189278,9595.193
0.197508,7225.750
0.205737,5394.096
0.213967,4005.094
0.222196,3049.477
0.230426,2338.562
0.238655,1747.459
0.246885,1286.789
0.255114,974.180
0.263344,787.000
