Distance_(microns),Gray_Value
0.000000,534
0.008229,784
0.016459,1099
0.024688,1499
0.032918,1992
0.041147,2593
0.049377,3333
0.057606,4482
0.065836,6430
0.074065,9660
0.082295,14337
0.090524,19924
0.098754,25827
0.106983,31381
0.115213,36276
0.123442,40588
0.131672,44465
0.139901,47155
0.148131,47800
0.156360,46203
0.164590,43272
0.172819,39684
0.181049,35291
0.189278,30020
0.197508,24576
0.205737,19284
0.213967,14348
0.222196,10017
0.230426,6721
0.238655,4353
0.246885,2867
0.255114,2028
0.263344,1568
0.271573,1250
0.279803,950
0.288032,705
0.296262,528
0.304491,388
0.312721,270
