Distance_(microns),Gray_Value
0.000000,833
0.008229,969
0.016459,1114
0.024688,1387
0.032918,1886
0.041147,2754
0.049377,4215
0.057606,6240
0.065836,8719
0.074065,11904
0.082295,16029
0.090524,21122
0.098754,26610
0.106983,31921
0.115213,36809
0.123442,40604
0.131672,42625
0.139901,42422
0.148131,40612
0.156360,37070
0.164590,32155
0.172819,26433
0.181049,21000
0.189278,16128
0.197508,11737
0.205737,7998
0.213967,5147
0.222196,3239
0.230426,2130
0.238655,1478
0.246885,1036
0.255114,744
0.263344,548
