Distance_(microns),Gray_Value
0.000000,1758
0.008229,2325
0.016459,2798
0.024688,3348
0.032918,4274
0.041147,5973
0.049377,8402
0.057606,11286
0.065836,14627
0.074065,19244
0.082295,25378
0.090524,32535
0.098754,39330
0.106983,45178
0.115213,49780
0.123442,53154
0.131672,55117
0.139901,55381
0.148131,53184
0.156360,48413
0.164590,41886
0.172819,35293
0.181049,29566
0.189278,24252
0.197508,19141
0.205737,14647
0.213967,11096
0.222196,8531
0.230426,6767
0.238655,5367
0.246885,4100
0.255114,2931
0.263344,1979
0.271573,1382
