Distance_(microns),Gray_Value
0.000000,369
0.008229,413
0.016459,555
0.024688,735
0.032918,923
0.041147,1107
0.049377,1350
0.057606,1678
0.065836,2128
0.074065,2845
0.082295,4027
0.090524,5781
0.098754,8043
0.106983,10743
0.115213,14033
0.123442,18462
0.131672,24177
0.139901,30726
0.148131,37676
0.156360,44557
0.164590,50255
0.172819,53154
0.181049,52385
0.189278,48639
0.197508,43523
0.205737,38039
0.213967,32436
0.222196,26780
0.230426,21096
0.238655,15927
0.246885,11561
0.255114,7971
0.263344,5179
0.271573,3286
0.279803,2131
0.288032,1498
0.296262,1063
0.304491,763
0.312721,577
0.320950,489
0.329179,420
0.337409,338
0.345638,242
0.353868,167
