Distance_(microns),Gray_Value
0.000000,244.750
0.008229,414.686
0.016459,765.193
0.024688,1355.214
0.032918,2119.236
0.041147,2940.286
0.049377,4009.014
0.057606,5547.600
0.065836,7884.878
0.074065,11322.543
0.082295,16101.036
0.090524,21611.271
0.098754,27144.156
0.106983,32518.486
0.115213,37947.398
0.123442,43133.715
0.131672,47909.879
0.139901,50991.258
0.148131,51451.664
0.156360,49769.430
0.164590,46893.035
0.172819,42806.602
0.181049,37164.688
0.189278,31170.385
0.197508,25922.758
0.205737,21627.285
0.213967,18176.529
0.222196,14754.371
0.230426,11416.000
0.238655,8477.343
0.246885,6468.643
0.255114,5228.414
0.263344,4252.043
0.271573,3295.857
0.279803,2440.800
0.288032,1791.500
