"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.871367919E1,4.300206323E1,-7.879089140E1,1.773193360E2,1.426073108E2,8.500000238E-1,1.040625069E2,5.183287481E-2,4.596103054E0,3.563758374E0,-1.000000000E0
2.971367466E1,4.300205241E1,-7.879087689E1,1.773377687E2,1.426257666E2,1.129999995E0,1.216406330E2,5.334521528E-2,4.596103043E0,3.563758389E0,-1.000000000E0
3.071367109E1,4.300204031E1,-7.879086840E1,1.771271974E2,1.424152193E2,1.139999986E0,1.350000067E2,5.487959566E-2,4.596103036E0,3.563758397E0,-1.000000000E0
3.171366704E1,4.300202690E1,-7.879086394E1,1.772847902E2,1.425728374E2,1.139999986E0,1.504687547E2,5.653134521E-2,4.596103034E0,3.563758400E0,-1.000000000E0
3.271366513E1,4.300201209E1,-7.879086251E1,1.772244875E2,1.425125617E2,1.210000038E0,1.638281278E2,6.019776964E-2,4.596103036E0,3.563758398E0,-1.000000000E0
3.371366346E1,4.300198166E1,-7.879084512E1,1.791478322E2,1.444359657E2,1.305574904E0,1.701247263E2,6.200360155E-2,4.755521217E0,3.348067351E0,-1.000000000E0
3.471366215E1,4.300196898E1,-7.879083124E1,1.794190220E2,1.447071819E2,1.707166862E0,1.529444671E2,6.311086109E-2,4.748708538E0,3.357723076E0,-1.000000000E0
3.571366191E1,4.300196093E1,-7.879082324E1,1.795287079E2,1.448168843E2,1.289073875E0,1.455957254E2,6.466216533E-2,4.746016416E0,3.361527214E0,-1.000000000E0
3.671366119E1,4.300194918E1,-7.879081296E1,1.794765097E2,1.447647099E2,1.348086489E0,1.524844412E2,6.643349544E-2,4.746186111E0,3.361287615E0,-1.000000000E0
3.771366227E1,4.300193541E1,-7.879080200E1,1.788944977E2,1.441827254E2,1.362731246E0,1.442979494E2,6.816773751E-2,4.703449284E0,3.420833505E0,-1.000000000E0
3.871366370E1,4.300192124E1,-7.879079308E1,1.785246318E2,1.438128873E2,1.479333724E0,1.487978674E2,6.910300824E-2,4.706075035E0,3.417220331E0,-1.000000000E0
3.971366513E1,4.300191470E1,-7.879078584E1,1.784913802E2,1.437796493E2,1.192051289E0,1.486944835E2,7.095567781E-2,4.699223055E0,3.426636792E0,-1.000000000E0
